team,committed_salary_est,cap_room_est,expiring_count,max_supermax_count,flexibility_tier,source,as_of_date
PDX,4987988,2012012,NA,NA,room,Spotrac (spotrac.com/wnba/cap),2026-07-19
WAS,5163361,1836639,NA,NA,room,Spotrac (spotrac.com/wnba/cap),2026-07-19
PHX,6126894,873106,NA,NA,tight,Spotrac (spotrac.com/wnba/cap),2026-07-19
CON,6199231,800769,NA,NA,tight,Spotrac (spotrac.com/wnba/cap),2026-07-19
SEA,6324037,675963,NA,NA,tight,Spotrac (spotrac.com/wnba/cap),2026-07-19
TOR,6426650,573350,NA,NA,tight,Spotrac (spotrac.com/wnba/cap),2026-07-19
LAS,6777508,222492,NA,NA,tight,Spotrac (spotrac.com/wnba/cap),2026-07-19
ATL,6809337,190663,NA,NA,tight,Spotrac (spotrac.com/wnba/cap),2026-07-19
DAL,6811981,188019,NA,NA,tight,Spotrac (spotrac.com/wnba/cap),2026-07-19
MIN,6864847,135153,NA,NA,tight,Spotrac (spotrac.com/wnba/cap),2026-07-19
NYL,6870096,129904,NA,NA,tight,Spotrac (spotrac.com/wnba/cap),2026-07-19
IND,6993346,6654,NA,NA,tight,Spotrac (spotrac.com/wnba/cap),2026-07-19
CHI,7070297,-70297,NA,NA,capped,Spotrac (spotrac.com/wnba/cap),2026-07-19
GSV,7128145,-128145,NA,NA,capped,Spotrac (spotrac.com/wnba/cap),2026-07-19
LVA,7129269,-129269,NA,NA,capped,Spotrac (spotrac.com/wnba/cap),2026-07-19
