season,group_id,group_name,group_abbreviation,group_short_name,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,stat_name,stat_display_name,stat_short_display_name,stat_description,stat_abbreviation,stat_type,display_value,value
2026,1,Eastern Conference,E,NA,20,s:40~l:59~t:20,NA,Atlanta,Dream,ATL,Atlanta Dream,Dream,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,avgPointsAgainst,Opponent Points Per Game,OPP PPG,Opponent Points Per Game,OPP PPG,avgpointsagainst,85.7,85.7
2026,1,Eastern Conference,E,NA,20,s:40~l:59~t:20,NA,Atlanta,Dream,ATL,Atlanta Dream,Dream,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,avgPointsFor,Points Per Game,PPG,Points Per Game,PPG,avgpointsfor,90.8,90.8
2026,1,Eastern Conference,E,NA,20,s:40~l:59~t:20,NA,Atlanta,Dream,ATL,Atlanta Dream,Dream,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,clincher,Clincher,CLINCH,Clinched Playoff Berth,CLINCH,clincher,x,1
2026,1,Eastern Conference,E,NA,20,s:40~l:59~t:20,NA,Atlanta,Dream,ATL,Atlanta Dream,Dream,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,differential,Average Point Differential,DIFF,Average Point Differential,DIFF,differential,+5.1,5.09999999999999
2026,1,Eastern Conference,E,NA,20,s:40~l:59~t:20,NA,Atlanta,Dream,ATL,Atlanta Dream,Dream,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,divisionWinPercent,Division Win Percentage,DPCT,Division Winning Percentage,DPCT,divisionwinpercent,0.000,0
2026,1,Eastern Conference,E,NA,20,s:40~l:59~t:20,NA,Atlanta,Dream,ATL,Atlanta Dream,Dream,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,gamesBehind,Games Back,GB,Games Back,GB,gamesbehind,-,0
2026,1,Eastern Conference,E,NA,20,s:40~l:59~t:20,NA,Atlanta,Dream,ATL,Atlanta Dream,Dream,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,leagueWinPercent,League Win Percentage,LPCT,League Winning Percentage,LPCT,leaguewinpercent,0.688,0.6875
2026,1,Eastern Conference,E,NA,20,s:40~l:59~t:20,NA,Atlanta,Dream,ATL,Atlanta Dream,Dream,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,losses,Losses,L,Losses,L,losses,14,14
2026,1,Eastern Conference,E,NA,20,s:40~l:59~t:20,NA,Atlanta,Dream,ATL,Atlanta Dream,Dream,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,playoffSeed,Position,POS,Playoff Seed,SEED,playoffseed,1,1
2026,1,Eastern Conference,E,NA,20,s:40~l:59~t:20,NA,Atlanta,Dream,ATL,Atlanta Dream,Dream,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,pointDifferential,Point Differential,DIFF,Point Differential,DIFF,pointdifferential,+204,204
