season,team_id,team_slug,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,category,stat_label,stat_name,stat_display_name,stat_description,display_value,value
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,general,RPG,avgRebounds,Rebounds Per Game,The average rebounds per game.,31.6,31.55
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,general,AST/TO,assistTurnoverRatio,Assist To Turnover Ratio,The average number of assists a player or team records per turnover,1.6,1.554054
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,general,PFPG,avgFouls,Fouls Per Game,The average fouls committed per game.,18.6,18.625
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,general,GP,gamesPlayed,Games Played,Games Played,40,40
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,general,GS,gamesStarted,Games Started,The number of games started by an athlete.,0,0
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,general,MPG,avgMinutes,Minutes Per Game,The average number of minutes per game.,0.0,0
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,general,REB,totalRebounds,Rebounds,The total number of rebounds for a team or player,1262,1262
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,general,REB,rebounds,Rebounds,The total number of rebounds (offensive and defensive).,1262,1262
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,78.7,78.689
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,3P%,threePointPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,32.7,32.71
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,AFGM,avgFieldGoalsMade,Average Field Goals Made,The average field goals made per game.,29.2,29.15
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,AFGA,avgFieldGoalsAttempted,Average Field Goals Attempted,The average field goals attempted per game.,65.6,65.575
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,A3PM,avgThreePointFieldGoalsMade,Average 3-Point Field Goals Made,The average three point field goals made per game.,7.9,7.875
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,A3PA,avgThreePointFieldGoalsAttempted,Average 3-Point Field Goals Attempted,The average three point field goals attempted per game.,24.1,24.075
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,AFTM,avgFreeThrowsMade,Average Free Throws Made,The average free throw shots made per game.,18.0,18
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,AFTA,avgFreeThrowsAttempted,Average Free Throws Attempted,The average free throw shots attempted per game.,22.9,22.875
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,PPG,avgPoints,Points Per Game,The average number of points scored per game.,84.2,84.175
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,ORPG,avgOffensiveRebounds,Offensive Rebounds Per Game,The average offensive rebounds per game.,6.9,6.9
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,APG,avgAssists,Assists Per Game,The average assists per game.,20.1,20.125
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,TOPG,avgTurnovers,Turnovers Per Game,The average turnovers committed per game.,13.0,12.95
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,2P%,twoPointFieldGoalPct,2-Point Field Goal Percentage,The percentage of 2-points fields goals made by a team or player.,51.3,51.265060901641846
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,SC-EFF,scoringEfficiency,Scoring Efficiency,The efficiency with which a team or player scores the basketball.,1.284,1.2836447
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,SH-EFF,shootingEfficiency,Shooting Efficiency,The efficiency with which a team or player shoots the basketball.,0.50,0.5045749
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,44.5,44.453
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,2PM,twoPointFieldGoalsMade,2-Point Field Goals Made,The number of 2-point field goals made for a team or player.,851.0,851
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,2PA,twoPointFieldGoalsAttempted,2-Point Field Goals Attempted,The number of 2-point field goals attempted for a team or player.,1660.0,1660
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,PTS,points,Points,The number of points scored.,3367,3367
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,OREB,offensiveRebounds,Offensive Rebounds,The number of times when the offense obtains the possession of the ball after a missed shot.,276,276
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,AST,assists,Assists,"The number of times a player who passes the ball to a teammate in a way that leads to a score by field goal, meaning that he or she was ""assisting"" in the basket. There is some judgment involved in deciding whether a passer should be credited with an assist.",805,805
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,TO,turnovers,Turnovers,The number of times a player loses possession to the other team.,518,518
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,FGM,fieldGoalsMade,Field Goals Made,The number of times a 2pt field goal was made.,1166,1166
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,FGA,fieldGoalsAttempted,Field Goals Attempted,The number of times a 2pt field goal was attempted.,2623,2623
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,FTM,freeThrowsMade,Free Throws Made,The number of times a free throw was made.,720,720
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,FTA,freeThrowsAttempted,Free Throws Attempted,The number of times a free throw was attempted.,915,915
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,3PM,threePointFieldGoalsMade,3-Point Field Goals Made,The number of times a 3pt field goal was made.,315,315
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,3PA,threePointFieldGoalsAttempted,3-Point Field Goals Attempted,The number of times a 3pt field goal was attempted.,963,963
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,32.7,32.710281014442444
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,2PM,avgTwoPointFieldGoalsMade,2-Point Field Goals Made per Game,The number of 2-point field goals made per game for a team or player.,21.3,21.275
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,offensive,2PA,avgTwoPointFieldGoalsAttempted,2-Point Field Goals Attempted per Game,The number of 2-point field goals attempted per game for a team or player.,41.5,41.5
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,defensive,DRPG,avgDefensiveRebounds,Defensive Rebounds Per Game,The average defensive rebounds per game.,24.7,24.65
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,defensive,BPG,avgBlocks,Blocks Per Game,The average blocks per game.,3.3,3.275
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,defensive,SPG,avgSteals,Steals Per Game,The average steals per game.,7.4,7.425
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,defensive,DREB,defensiveRebounds,Defensive Rebounds,The number of times when the defense obtains the possession of the ball after a missed shot by the offense.,986,986
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,defensive,STL,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,297,297
2026,11,NA,PHX,Phoenix Mercury,NA,3c286e,NA,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,defensive,BLK,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",131,131
2026,129689,NA,GS,Golden State Valkyries,NA,b38fcf,NA,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,general,RPG,avgRebounds,Rebounds Per Game,The average rebounds per game.,32.9,32.875
2026,129689,NA,GS,Golden State Valkyries,NA,b38fcf,NA,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,general,AST/TO,assistTurnoverRatio,Assist To Turnover Ratio,The average number of assists a player or team records per turnover,1.9,1.8716707
2026,129689,NA,GS,Golden State Valkyries,NA,b38fcf,NA,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,general,PFPG,avgFouls,Fouls Per Game,The average fouls committed per game.,19.1,19.1
2026,129689,NA,GS,Golden State Valkyries,NA,b38fcf,NA,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,general,GP,gamesPlayed,Games Played,Games Played,40,40
2026,129689,NA,GS,Golden State Valkyries,NA,b38fcf,NA,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,general,GS,gamesStarted,Games Started,The number of games started by an athlete.,0,0
2026,129689,NA,GS,Golden State Valkyries,NA,b38fcf,NA,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,general,MPG,avgMinutes,Minutes Per Game,The average number of minutes per game.,0.0,0
2026,129689,NA,GS,Golden State Valkyries,NA,b38fcf,NA,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,general,REB,totalRebounds,Rebounds,The total number of rebounds for a team or player,1315,1315
2026,129689,NA,GS,Golden State Valkyries,NA,b38fcf,NA,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,general,REB,rebounds,Rebounds,The total number of rebounds (offensive and defensive).,1315,1315
2026,129689,NA,GS,Golden State Valkyries,NA,b38fcf,NA,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,offensive,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,77.8,77.839
2026,129689,NA,GS,Golden State Valkyries,NA,b38fcf,NA,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,offensive,3P%,threePointPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,34.7,34.669
2026,129689,NA,GS,Golden State Valkyries,NA,b38fcf,NA,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,offensive,AFGM,avgFieldGoalsMade,Average Field Goals Made,The average field goals made per game.,28.9,28.9
