player_id,player_name,team_id,team_abbreviation,age,player_height,player_height_inches,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,league_id,season_type,per_mode
1628932,A'ja Wilson,1611661319,LVA,30,6-4,76,195,South Carolina,USA,2018,1,1,31,814,304,96,12.7,0.067,0.24,0.323,0.62,0.165,2026,10,Regular Season,Totals
1642290,Aaliyah Edwards,1611661323,CON,24,6-3,75,206,Connecticut,Canada,2024,1,6,21,202,84,18,-10.8,0.068,0.144,0.217,0.587,0.088,2026,10,Regular Season,Totals
1642801,Aaliyah Nye,1611661330,ATL,23,6-0,72,NA,Alabama,USA,2025,2,13,15,5,0,2,-18.8,0,0,0.113,0.417,0.1,2026,10,Regular Season,Totals
1642786,Aicha Coulibaly,1611661329,CHI,24,6-0,72,NA,Texas A&M,Mali,2025,2,22,23,117,59,14,9.2,0.039,0.15,0.161,0.547,0.064,2026,10,Regular Season,Totals
1629501,Alanna Smith,1611661321,DAL,29,6-4,76,177,Stanford,Australia,2019,1,8,26,146,101,27,-5.7,0.069,0.172,0.171,0.501,0.099,2026,10,Regular Season,Totals
1643525,Alex Fowler,1611661313,NYL,25,6-2,74,NA,Portland,Australia,Undrafted,Undrafted,Undrafted,2,12,0,1,-20,0,0,0.194,0.551,0.056,2026,10,Regular Season,Totals
1642775,Alex Wilson,1611661322,WAS,32,5-9,69,164,None,Australia,Undrafted,Undrafted,Undrafted,4,12,7,3,-19.3,0.076,0.03,0.126,0.368,0.1,2026,10,Regular Season,Totals
1643644,Alicia Florez,1611661322,WAS,22,5-9,69,166,None,Spain,Undrafted,Undrafted,Undrafted,23,83,38,56,-7.1,0.027,0.091,0.179,0.384,0.295,2026,10,Regular Season,Totals
1642293,Alissa Pili,1611661320,LAS,25,5-11,71,235,Utah,USA,2024,1,8,3,4,6,2,-21.6,0.103,0.188,0.094,0.5,0.167,2026,10,Regular Season,Totals
1641648,Aliyah Boston,1611661325,IND,24,6-5,77,217,South Carolina,USA,2023,1,1,30,509,253,91,8.7,0.073,0.251,0.253,0.622,0.184,2026,10,Regular Season,Totals
1628277,Allisha Gray,1611661330,ATL,31,6-0,72,167,South Carolina,USA,2017,1,4,32,606,100,75,8.7,0.02,0.082,0.221,0.572,0.12,2026,10,Regular Season,Totals
202252,Alysha Clark,1611661321,DAL,39,5-11,71,167,Middle Tennessee,USA,2010,2,17,21,43,25,10,1.7,0.025,0.104,0.109,0.528,0.073,2026,10,Regular Season,Totals
203826,Alyssa Thomas,1611661317,PHX,34,6-2,74,203,Maryland,USA,2014,1,4,33,489,243,271,-3.4,0.049,0.178,0.219,0.561,0.416,2026,10,Regular Season,Totals
1629539,Amy Okonkwo,1611661330,ATL,29,6-2,74,NA,Texas Christian,USA,Undrafted,Undrafted,Undrafted,1,1,1,0,8.3,0,0.333,0.667,0.266,0,2026,10,Regular Season,Totals
1642797,Anastasiia Olairi Kosu,1611661324,MIN,21,6-1,73,200,None,Russia,2025,2,15,27,108,59,19,16.5,0.132,0.077,0.163,0.559,0.089,2026,10,Regular Season,Totals
1642800,Aneesah Morrow,1611661332,TOR,23,6-1,73,178,Louisiana State,USA,2025,1,7,24,269,198,37,-13.7,0.1,0.273,0.234,0.494,0.121,2026,10,Regular Season,Totals
1642291,Angel Reese,1611661330,ATL,24,6-4,76,165,Louisiana State,USA,2024,1,7,31,491,369,76,7.3,0.15,0.243,0.247,0.508,0.135,2026,10,Regular Season,Totals
1643455,Angela Dugalic,1611661322,WAS,24,6-4,76,199,UCLA,USA,2026,1,9,28,93,79,21,-12.7,0.062,0.222,0.167,0.489,0.13,2026,10,Regular Season,Totals
1630993,Anneli Maley,1611661313,NYL,27,6-1,73,NA,None,Australia,Undrafted,Undrafted,Undrafted,6,6,8,0,7.7,0.069,0.08,0.092,0.255,0,2026,10,Regular Season,Totals
1643489,Antonia Delaere,1611661324,MIN,32,5-11,71,155,None,Belgium,Undrafted,Undrafted,Undrafted,35,107,26,39,10.6,0.017,0.044,0.097,0.632,0.125,2026,10,Regular Season,Totals
1628878,Ariel Atkins,1611661320,LAS,30,5-10,70,167,Texas-Austin,USA,2018,1,7,30,277,88,89,-3,0.028,0.082,0.168,0.499,0.153,2026,10,Regular Season,Totals
1629481,Arike Ogunbowale,1611661321,DAL,29,5-8,68,165,Notre Dame,USA,2019,1,5,34,498,104,107,1.2,0.029,0.077,0.223,0.53,0.161,2026,10,Regular Season,Totals
1643437,Ashlon Jackson,1611661323,CON,22,6-0,72,170,Duke,USA,2026,2,23,7,10,6,6,-25.7,0,0.075,0.097,0.388,0.154,2026,10,Regular Season,Totals
1641695,Ashten Prechtel,1611661331,GSV,25,6-5,77,NA,Stanford,USA,2023,3,34,2,8,4,2,14.5,0.095,0.105,0.161,0.633,0.105,2026,10,Regular Season,Totals
1642826,Aubrey Griffin,1611661313,NYL,24,6-1,73,160,Connecticut,NA,2025,3,37,4,2,1,0,-5,0,0.071,0.087,1,0,2026,10,Regular Season,Totals
1643443,Awa Fam,1611661328,SEA,20,6-4,76,NA,None,Spain,2026,1,3,29,295,166,57,-5.5,0.068,0.128,0.164,0.552,0.108,2026,10,Regular Season,Totals
1630386,Awak Kuier,1611661321,DAL,24,6-6,78,168,None,Finland,2021,1,2,31,172,93,26,5.9,0.046,0.142,0.156,0.584,0.076,2026,10,Regular Season,Totals
1642793,Aziaha James,1611661321,DAL,23,5-10,70,NA,North Carolina State,USA,2025,1,12,34,206,82,41,4.8,0.047,0.157,0.248,0.469,0.169,2026,10,Regular Season,Totals
1628922,Azura Stevens,1611661329,CHI,30,6-6,78,180,Connecticut,USA,2018,1,6,25,276,167,58,-6.2,0.059,0.217,0.219,0.497,0.149,2026,10,Regular Season,Totals
1643425,Azzi Fudd,1611661321,DAL,23,5-11,71,NA,Connecticut,USA,2026,1,1,30,393,52,55,6.9,0.017,0.039,0.176,0.558,0.084,2026,10,Regular Season,Totals
204335,Betnijah Laney-Hamilton,1611661322,WAS,32,6-0,72,166,Rutgers,USA,2015,2,17,18,86,34,28,4.5,0.011,0.1,0.161,0.509,0.143,2026,10,Regular Season,Totals
1627668,Breanna Stewart,1611661313,NYL,31,6-4,76,170,Connecticut,USA,2016,1,1,33,702,276,105,4.4,0.053,0.204,0.271,0.575,0.172,2026,10,Regular Season,Totals
1642788,Bree Hall,1611661325,IND,23,6-1,73,161,South Carolina,USA,2025,2,20,2,5,1,0,-26.9,0,0.111,0.179,0.5,0,2026,10,Regular Season,Totals
1629488,Brianna Turner,1611661319,LVA,30,6-3,75,175,Notre Dame,USA,2019,1,11,31,56,70,7,-2.5,0.053,0.12,0.068,0.624,0.025,2026,10,Regular Season,Totals
1629524,Bridget Carleton,1611661327,PDX,29,6-2,74,190,Iowa State,Canada,2019,2,21,32,469,140,68,-3.6,0.023,0.125,0.196,0.575,0.114,2026,10,Regular Season,Totals
1628280,Brionna Jones,1611661330,ATL,30,6-3,75,215,Maryland,USA,2017,1,8,8,74,49,17,2,0.102,0.235,0.184,0.614,0.189,2026,10,Regular Season,Totals
203398,Brittney Griner,1611661323,CON,35,6-9,81,219,Baylor,USA,2013,1,1,17,231,97,45,-4.6,0.071,0.153,0.229,0.569,0.195,2026,10,Regular Season,Totals
1628279,Brittney Sykes,1611661332,TOR,32,5-11,71,152,Syracuse,USA,2017,1,7,15,301,57,52,-2.3,0.032,0.092,0.277,0.55,0.202,2026,10,Regular Season,Totals
1642286,Caitlin Clark,1611661325,IND,24,6-0,72,157,Iowa,USA,2024,1,1,29,628,114,238,5.7,0.01,0.121,0.309,0.603,0.435,2026,10,Regular Season,Totals
1642287,Cameron Brink,1611661320,LAS,24,6-4,76,170,Stanford,USA,2024,1,2,24,218,116,30,-1.6,0.085,0.18,0.229,0.602,0.115,2026,10,Regular Season,Totals
1642304,Carla Leite,1611661327,PDX,22,5-9,69,151,None,France,2024,1,9,30,466,67,187,-2.1,0.028,0.063,0.275,0.597,0.413,2026,10,Regular Season,Totals
1643467,Cassandre Prosper,1611661322,WAS,21,6-3,75,182,Notre Dame,Canada,2026,2,19,28,69,36,13,-7.4,0.065,0.038,0.151,0.35,0.065,2026,10,Regular Season,Totals
1628508,Cecilia Zandalasini,1611661331,GSV,30,6-2,74,175,None,Italy,Undrafted,Undrafted,Undrafted,29,245,58,49,6.7,0.016,0.096,0.228,0.528,0.163,2026,10,Regular Season,Totals
1643462,Chance Gray,1611661320,LAS,22,5-9,69,NA,Ohio State,USA,2026,2,24,29,80,35,28,-18.3,0.028,0.082,0.128,0.527,0.154,2026,10,Regular Season,Totals
1643449,Charlisse Leger-Walker,1611661323,CON,24,5-10,70,190,UCLA,New Zealand,2026,2,18,31,199,64,106,-8.9,0.008,0.091,0.16,0.46,0.229,2026,10,Regular Season,Totals
203833,Chelsea Gray,1611661319,LVA,33,5-11,71,170,Duke,USA,2014,1,11,33,414,106,233,7.4,0.008,0.087,0.178,0.585,0.296,2026,10,Regular Season,Totals
1630150,Chennedy Carter,1611661319,LVA,27,5-9,69,143,Texas A&M,USA,2020,1,4,13,159,23,17,5.1,0.046,0.057,0.26,0.684,0.136,2026,10,Regular Season,Totals
204323,Cheyenne Parker-Tyus,1611661319,LVA,33,6-4,76,193,Middle Tennessee,USA,2015,1,5,23,113,57,14,-3.2,0.068,0.164,0.189,0.601,0.091,2026,10,Regular Season,Totals
1631064,Chloe Bibby,1611661324,MIN,28,6-2,74,191,Maryland,Australia,Undrafted,Undrafted,Undrafted,4,22,2,6,-1,0,0.043,0.176,0.527,0.158,2026,10,Regular Season,Totals
1643424,Costanza Verona,1611661321,DAL,27,5-6,66,NA,None,Italy,Undrafted,Undrafted,Undrafted,1,4,0,2,-33.3,0,0,0.154,1,1,2026,10,Regular Season,Totals
1643430,Cotie McMahon,1611661322,WAS,22,6-0,72,203,Mississippi,USA,2026,1,11,30,204,89,60,-3.4,0.025,0.111,0.166,0.484,0.172,2026,10,Regular Season,Totals
202664,Courtney Vandersloot,1611661329,CHI,37,5-8,68,137,Gonzaga,USA,2011,1,3,17,151,47,82,-5.3,0.023,0.116,0.204,0.547,0.34,2026,10,Regular Season,Totals
1627675,Courtney Williams,1611661324,MIN,32,5-8,68,147,South Florida,USA,2016,1,8,35,513,181,149,11.1,0.029,0.14,0.22,0.518,0.207,2026,10,Regular Season,Totals
203024,Damiris Dantas,1611661325,IND,33,6-4,76,203,None,Brazil,2012,1,12,12,40,18,4,-6.9,0.041,0.159,0.175,0.556,0.063,2026,10,Regular Season,Totals
1630389,Dana Evans,1611661319,LVA,28,5-6,66,145,Louisville,USA,2021,2,13,10,34,18,20,-24.1,0,0.122,0.176,0.322,0.18,2026,10,Regular Season,Totals
1643440,Darianna Littlepage-Buggs,1611661322,WAS,22,6-1,73,159,Baylor,USA,2026,2,30,1,0,0,0,0,0,0,0,0,0,2026,10,Regular Season,Totals
201886,DeWanna Bonner,1611661317,PHX,38,6-4,76,140,Auburn,USA,2009,1,5,35,358,210,54,-3.5,0.029,0.196,0.172,0.515,0.095,2026,10,Regular Season,Totals
204324,Dearica Hamby,1611661320,LAS,32,6-3,75,189,Wake Forest,USA,2015,1,6,32,488,238,79,-4.2,0.072,0.186,0.205,0.613,0.14,2026,10,Regular Season,Totals
1630096,DiJonai Carrington,1611661329,CHI,28,5-11,71,175,Baylor,USA,2021,2,20,7,78,20,4,-6.5,0.017,0.148,0.287,0.517,0.056,2026,10,Regular Season,Totals
1641649,Diamond Miller,1611661323,CON,25,6-1,73,178,Maryland,USA,2023,1,2,31,294,78,42,-10.2,0.018,0.102,0.207,0.495,0.1,2026,10,Regular Season,Totals
1642798,Dominique Malonga,1611661328,SEA,20,6-6,78,NA,None,France,2025,1,2,26,453,227,41,-3.8,0.095,0.224,0.289,0.567,0.11,2026,10,Regular Season,Totals
1641657,Dorka Juhasz,1611661324,MIN,26,6-5,77,190,Connecticut,Hungary,2023,2,16,13,52,34,21,-8.6,0.024,0.146,0.13,0.484,0.156,2026,10,Regular Season,Totals
1643490,Eliska Joklova,1611661324,MIN,24,6-0,72,162,None,Czech Republic,Undrafted,Undrafted,Undrafted,18,36,21,19,9.9,0.076,0.13,0.176,0.558,0.26,2026,10,Regular Season,Totals
204322,Elizabeth Williams,1611661329,CHI,33,6-3,75,200,Duke,United Kingdom,2015,1,4,34,178,125,51,-1.9,0.072,0.132,0.16,0.461,0.141,2026,10,Regular Season,Totals
1629581,Emese Hof,1611661324,MIN,30,6-3,75,219,Miami,Netherlands,Undrafted,Undrafted,Undrafted,3,7,5,2,-35,0.095,0.111,0.216,0.509,0.167,2026,10,Regular Season,Totals
1631083,Emily Engstler,1611661327,PDX,26,6-1,73,184,Louisville,USA,2022,1,4,33,298,174,68,-6.4,0.049,0.176,0.178,0.551,0.138,2026,10,Regular Season,Totals
