player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2_nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2_nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2_nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2_nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team_count,season,league_id,season_type,per_mode
1628932,A'ja Wilson,A'ja,1611661319,LVA,30,31,22,9,0.71,994.295,101,107,60,396,321,259,203,928,64,22,58,234,1574.8,61,19,85,40,18,14,5,20,2,183,199,190,201,1,209,149,1,1,1,2026,10,Regular Season,Totals
1642290,Aaliyah Edwards,Aaliyah,1611661323,CON,24,21,7,14,0.333,404.22,27,31,12,118,174,98,78,362,7,9,46,67,361.8,134,137,154,162,113,112,68,108,61,122,101,103,106,85,133,119,57,105,1,2026,10,Regular Season,Totals
1642801,Aaliyah Nye,Aaliyah,1611661330,ATL,23,15,9,6,0.6,21.346666666666668,3,3,0,2,7,4,0,16,0,0,0,0,10,158,115,58,84,204,184,175,184,200,12,14,1,17,180,1,1,210,209,1,2026,10,Regular Season,Totals
1642786,Aicha Coulibaly,Aicha,1611661329,CHI,24,23,8,15,0.348,315.215,22,8,22,68,113,94,64,296,4,7,35,46,263.8,126,124,165,161,132,124,150,83,102,90,97,94,98,114,114,93,78,121,1,2026,10,Regular Season,Totals
1629501,Alanna Smith,Alanna,1611661321,DAL,29,26,16,10,0.615,434.74666666666667,31,17,29,72,173,120,107,428,13,6,61,44,370.7,113,65,100,75,106,100,112,64,97,121,117,127,124,51,103,156,83,99,1,2026,10,Regular Season,Totals
1643525,Alex Fowler,Alex,1611661313,NYL,25,2,1,1,0.5,31.291666666666668,0,4,0,4,7,1,5,30,0,0,10,2,13.5,212,204,6,109,198,204,168,184,190,12,6,20,27,180,1,42,196,204,1,2026,10,Regular Season,Totals
1642775,Alex Wilson,Alex,1611661322,WAS,32,4,2,2,0.5,57.91833333333334,0,2,0,4,29,23,22,34,1,0,7,5,25.9,198,193,25,109,191,204,183,184,190,43,43,53,29,159,1,36,181,197,1,2026,10,Regular Season,Totals
1643644,Alicia Florez,Alicia,1611661322,WAS,22,23,14,9,0.609,321.955,16,10,13,40,135,80,64,290,3,10,37,40,239.6,126,73,85,80,130,135,143,101,130,98,86,94,95,130,143,100,91,131,1,2026,10,Regular Season,Totals
1642293,Alissa Pili,Alissa,1611661320,LAS,25,3,2,1,0.667,17.783333333333335,2,0,0,4,3,3,3,18,0,0,5,0,13.2,204,193,6,49,208,194,194,184,190,7,12,14,18,180,1,26,210,206,1,2026,10,Regular Season,Totals
1641648,Aliyah Boston,Aliyah,1611661325,IND,24,30,19,11,0.633,815.9233333333333,75,72,26,284,298,178,176,826,35,23,100,122,1100.1,78,43,112,65,44,32,19,71,17,177,158,179,191,11,210,216,20,12,1,2026,10,Regular Season,Totals
1628277,Allisha Gray,Allisha,1611661330,ATL,31,32,20,12,0.625,1052.7683333333334,118,77,107,290,408,267,207,1076,14,17,89,159,961.5,41,30,127,69,12,7,14,1,16,214,205,194,220,44,189,203,7,23,1,2026,10,Regular Season,Totals
202252,Alysha Clark,Alysha,1611661321,DAL,39,21,13,8,0.619,197.39166666666668,6,5,5,8,58,49,46,162,2,2,38,15,99,134,75,77,74,155,170,161,144,179,61,67,76,64,143,52,103,148,165,1,2026,10,Regular Season,Totals
203826,Alyssa Thomas,Alyssa,1611661317,PHX,34,33,11,22,0.333,1121.605,67,67,73,346,459,286,246,1026,16,23,86,145,1254.1,22,90,205,162,2,40,22,9,6,225,211,214,214,38,210,199,11,3,1,2026,10,Regular Season,Totals
1629539,Amy Okonkwo,Amy,1611661330,ATL,29,1,0,1,0,1.3333333333333333,0,0,0,0,0,0,0,0,0,0,1,1,2.2,219,217,6,217,224,204,194,184,211,1,1,1,1,180,1,8,202,221,1,2026,10,Regular Season,Totals
1642797,Anastasiia Olairi Kosu,Anastasiia Olairi,1611661324,MIN,21,27,21,6,0.778,296.49666666666667,24,29,13,74,124,114,38,232,12,9,36,22,275.3,105,24,58,19,137,118,76,101,96,92,113,69,78,55,133,95,129,117,1,2026,10,Regular Season,Totals
1642800,Aneesah Morrow,Aneesah,1611661332,TOR,23,24,3,21,0.125,540.8566666666667,54,74,14,144,264,161,136,558,13,20,53,59,630.1,122,183,201,215,87,60,17,98,43,158,143,148,147,51,200,135,63,52,2,2026,10,Regular Season,Totals
1642291,Angel Reese,Angel,1611661330,ATL,24,31,20,11,0.645,951.3516666666667,100,144,60,326,380,220,185,924,21,69,117,156,1163.8,61,30,112,58,25,15,1,20,9,205,180,183,199,29,226,224,8,7,1,2026,10,Regular Season,Totals
1643455,Angela Dugalic,Angela,1611661322,WAS,24,28,15,13,0.536,306.38166666666666,28,18,4,60,157,83,68,294,7,7,33,21,253.3,100,69,144,105,133,110,108,146,109,112,89,96,97,85,114,87,133,126,1,2026,10,Regular Season,Totals
1630993,Anneli Maley,Anneli,1611661313,NYL,27,6,1,5,0.167,53.013333333333335,0,2,0,0,23,16,16,48,0,2,11,4,27.6,190,204,51,211,192,204,183,184,211,37,38,43,35,180,52,44,186,195,2,2026,10,Regular Season,Totals
1643489,Antonia Delaere,Antonia,1611661324,MIN,32,35,28,7,0.8,414.95,15,11,11,20,166,113,77,316,0,2,36,4,230.7,1,1,63,10,109,136,138,115,154,117,111,100,103,180,52,95,186,133,1,2026,10,Regular Season,Totals
1628878,Ariel Atkins,Ariel,1611661320,LAS,30,30,11,19,0.367,831.7383333333333,50,24,30,78,348,248,205,852,11,7,93,72,643.1,78,90,182,149,39,65,87,61,91,191,190,192,192,56,114,212,51,50,1,2026,10,Regular Season,Totals
1629481,Arike Ogunbowale,Arike,1611661321,DAL,29,34,20,14,0.588,1011.9316666666666,91,56,76,140,373,265,229,1078,2,17,77,109,831.3,11,30,154,92,17,21,29,7,49,201,204,208,222,143,189,186,24,35,1,2026,10,Regular Season,Totals
1643437,Ashlon Jackson,Ashlon,1611661323,CON,22,7,2,5,0.286,73.88,4,0,4,4,41,19,14,76,0,0,4,2,44.2,186,193,51,185,182,177,194,146,190,50,40,41,45,180,1,23,196,188,1,2026,10,Regular Season,Totals
1641695,Ashten Prechtel,Ashten,1611661331,GSV,25,2,2,0,1,22.95,0,0,0,2,15,9,6,22,0,1,5,2,15.8,212,193,1,1,203,204,194,184,200,30,26,22,20,180,38,26,196,202,1,2026,10,Regular Season,Totals
1642826,Aubrey Griffin,Aubrey,1611661313,NYL,24,4,3,1,0.75,7.72,0,0,0,2,10,6,0,6,0,0,1,1,2.2,198,183,6,23,218,204,194,184,200,20,19,1,8,180,1,8,202,221,1,2026,10,Regular Season,Totals
1643443,Awa Fam,Awa,1611661328,SEA,20,29,5,24,0.172,817.53,53,43,20,114,384,259,207,808,26,10,80,34,680.7,89,163,220,210,42,61,48,85,63,208,199,194,185,19,143,190,103,44,1,2026,10,Regular Season,Totals
1630386,Awak Kuier,Awak,1611661321,DAL,24,31,18,13,0.581,491.89,26,19,36,92,165,128,110,486,35,6,50,32,441.6,61,54,144,100,94,115,103,45,80,116,121,128,136,11,103,128,108,87,1,2026,10,Regular Season,Totals
1642793,Aziaha James,Aziaha,1611661321,DAL,23,34,20,14,0.588,392.40833333333336,41,18,25,98,124,87,94,364,9,20,53,60,444.9,11,30,154,92,117,77,108,72,74,92,90,121,107,70,200,135,62,85,1,2026,10,Regular Season,Totals
1628922,Azura Stevens,Azura,1611661329,CHI,30,25,6,19,0.24,615.755,34,42,24,140,275,168,165,676,13,26,73,50,627.4,117,151,182,196,73,93,50,80,49,165,149,165,168,51,218,178,72,53,1,2026,10,Regular Season,Totals
1643425,Azzi Fudd,Azzi,1611661321,DAL,23,30,19,11,0.633,950.0933333333334,69,45,71,92,317,248,193,1002,25,9,68,22,735.9,78,43,112,65,26,36,40,10,80,180,190,187,210,21,133,169,129,40,1,2026,10,Regular Season,Totals
