player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pct_fga_2_pt,pct_fga_3_pt,pct_pts_2_pt,pct_pts_2_pt_mr,pct_pts_3_pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2_pm,pct_uast_2_pm,pct_ast_3_pm,pct_uast_3_pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2_pt_rank,pct_fga_3_pt_rank,pct_pts_2_pt_rank,pct_pts_2_pt_mr_rank,pct_pts_3_pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2_pm_rank,pct_uast_2_pm_rank,pct_ast_3_pm_rank,pct_uast_3_pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank,team_count,season,league_id,season_type,per_mode
1628932,A'ja Wilson,A'ja,1611661319,LVA,30,31,22,9,0.71,32.1,0.867,0.133,0.631,0.145,0.114,0.074,0.255,0.124,0.486,0.728,0.272,0.968,0.032,0.753,0.247,288,550,0.524,61,19,85,40,13,37,188,53,16,174,137,35,177,85,66,147,91,101,95,122,1,2,36,1,2026,10,Regular Season,Totals
1642290,Aaliyah Edwards,Aaliyah,1611661323,CON,24,21,7,14,0.333,19.2,0.932,0.068,0.743,0.158,0.059,0.059,0.198,0.134,0.584,0.653,0.347,1,0,0.671,0.329,79,147,0.537,134,137,154,162,93,26,199,28,13,181,146,86,166,50,100,113,1,107,128,89,82,94,28,1,2026,10,Regular Season,Totals
1642801,Aaliyah Nye,Aaliyah,1611661330,ATL,23,15,9,6,0.6,1.4,0.5,0.5,0.4,0,0.6,0,0,0.6,0.4,1,0,1,0,1,0,2,6,0.333,158,115,58,84,223,152,66,147,160,21,184,203,5,116,1,198,1,107,1,199,201,202,197,1,2026,10,Regular Season,Totals
1642786,Aicha Coulibaly,Aicha,1611661329,CHI,24,23,8,15,0.348,13.7,0.788,0.212,0.598,0.017,0.026,0.188,0.376,0.188,0.581,0.914,0.086,0,1,0.889,0.111,36,85,0.424,126,124,165,161,142,50,175,66,144,187,22,8,105,51,17,196,189,1,33,182,132,132,124,1,2026,10,Regular Season,Totals
1629501,Alanna Smith,Alanna,1611661321,DAL,29,26,16,10,0.615,16.7,0.549,0.451,0.548,0.055,0.329,0.199,0.123,0.212,0.493,0.875,0.125,1,0,0.911,0.089,56,133,0.421,113,65,100,75,109,128,97,82,86,103,20,165,64,83,24,189,1,107,24,193,106,101,129,1,2026,10,Regular Season,Totals
1643525,Alex Fowler,Alex,1611661313,NYL,25,2,1,1,0.5,15.6,0.3,0.7,0.333,0,0.5,0,0.167,0,0.333,1,0,1,0,1,0,4,10,0.4,212,204,6,109,118,199,25,173,160,49,184,116,204,148,1,198,1,107,1,199,192,195,147,1,2026,10,Regular Season,Totals
1642775,Alex Wilson,Alex,1611661322,WAS,32,4,2,2,0.5,14.5,0.267,0.733,0.333,0,0.5,0,0.167,0,0.333,0.5,0.5,1,0,0.75,0.25,4,15,0.267,198,193,25,109,135,209,16,173,160,49,184,116,204,148,142,63,1,107,96,118,192,190,209,1,2026,10,Regular Season,Totals
1643644,Alicia Florez,Alicia,1611661322,WAS,22,23,14,9,0.609,14,0.611,0.389,0.578,0.096,0.253,0.157,0.169,0.193,0.482,0.25,0.75,0.571,0.429,0.323,0.677,31,95,0.326,126,73,85,80,139,108,117,75,37,133,39,114,97,87,195,18,181,11,207,10,140,124,202,1,2026,10,Regular Season,Totals
1642293,Alissa Pili,Alissa,1611661320,LAS,25,3,2,1,0.667,5.9,0.75,0.25,1,0,0,0,0,0.5,1,0.5,0.5,0,0,0.5,0.5,2,4,0.5,204,193,6,49,202,59,164,1,160,192,184,203,7,1,142,63,189,107,185,27,201,209,46,1,2026,10,Regular Season,Totals
1641648,Aliyah Boston,Aliyah,1611661325,IND,24,30,19,11,0.633,27.2,0.771,0.229,0.609,0.051,0.224,0.051,0.167,0.147,0.558,0.613,0.387,1,0,0.689,0.311,193,363,0.532,78,43,112,65,48,53,172,60,90,146,152,115,151,59,112,99,1,107,119,98,17,23,30,1,2026,10,Regular Season,Totals
