league_id,season_id,team_id,team_city,team_name,team_slug,conference,conference_record,playoff_rank,clinch_indicator,division,division_record,division_rank,wins,losses,win_pct,league_rank,record,home,road,l10,last10_home,last10_road,ot,three_pts_or_less,ten_pts_or_more,long_home_streak,str_long_home_streak,long_road_streak,str_long_road_streak,long_win_streak,long_loss_streak,current_home_streak,str_current_home_streak,current_road_streak,str_current_road_streak,current_streak,str_current_streak,conference_games_back,division_games_back,clinched_conference_title,clinched_division_title,clinched_playoff_birth,clinched_play_in,eliminated_conference,eliminated_division,ahead_at_half,behind_at_half,tied_at_half,ahead_at_third,behind_at_third,tied_at_third,score100_pts,opp_score100_pts,opp_over500,lead_in_fgpct,lead_in_reb,fewer_turnovers,points_pg,opp_points_pg,diff_points_pg,vs_east,vs_atlantic,vs_central,vs_southeast,vs_west,vs_northwest,vs_pacific,vs_southwest,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,score_80_plus,opp_score_80_plus,score_below_80,opp_score_below_80,total_points,opp_total_points,diff_total_points,league_games_back,playoff_seeding,clinched_post_season,neutral,season,season_type
10,22026,1611661324,Minnesota,Lynx,lynx,West,18-2 ,1, - x,NA,0-0,0,28,7,0.8,1,28-7,14-5,14-2,9-1,8-2,9-1,0-0,3-3,13-1,6,W 6,5,W 5,10,2,2,W 2,5,W 5,3,W 3,0,0,0,0,1,0,0,0,19-3,8-4,1-0,22-3,6-4,0-0,11-0 ,3-1  ,15-5 ,23-1,17-0,20-3 ,92.6,83.7,8.9,10-5,0-0,0-0,0-0,18-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,6-2,9-2,9-2,4-1,0-0,0-0,0-0,0-0,26-5 ,16-7 ,2-2,12-0,3242,2931,311,0,NA,0,0-0,2026,Regular Season
10,22026,1611661331,Golden State,Valkyries,valkyries,West,9-6  ,2,,NA,0-0,0,24,9,0.727,2,24-9,14-4,10-5,8-2,8-2,8-2,0-0,2-2,15-2,4,W 4,5,W 5,9,2,3,W 3,2,W 2,5,W 5,3,0,0,0,0,0,0,0,20-5,3-4,1-0,19-3,5-6,0-0,0-0  ,0-0  ,15-8 ,17-0,13-3,17-7 ,83.5,76.9,6.6,15-3,0-0,0-0,0-0,9-6,0-0,0-0,0-0,0-0,0-0,0-0,0-0,5-3,8-4,6-2,5-0,0-0,0-0,0-0,0-0,16-5 ,6-8  ,8-4,18-1,2757,2538,219,3,NA,0,0-0,2026,Regular Season
10,22026,1611661319,Las Vegas,Aces,aces,West,13-5 ,3,,NA,0-0,0,23,11,0.676,3,23-11,10-5,13-6,6-4,7-3,6-4,2-0,3-2,14-7,4,W 4,4,W 4,6,2,3,W 3,-2,L 2,1,W 1,4.5,0,0,0,0,0,0,0,20-3,2-8,1-0,23-3,0-7,0-1,10-0 ,0-4  ,12-9 ,20-2,10-3,12-4 ,90.9,87.3,3.6,10-6,0-0,0-0,0-0,13-5,0-0,0-0,0-0,0-0,0-0,0-0,0-0,5-3,9-2,6-3,3-3,0-0,0-0,0-0,0-0,22-5 ,15-11,1-6,8-0,3090,2967,123,4.5,NA,0,0-0,2026,Regular Season
10,22026,1611661325,Indiana,Fever,fever,East,9-4  ,4,,NA,0-0,0,21,12,0.636,1,21-12,12-6,9-6,7-3,6-4,7-3,1-2,3-5,13-4,6,W 6,4,W 4,5,2,1,W 1,1,W 1,2,W 2,0,0,0,0,0,0,0,0,17-4,3-7,1-1,19-3,2-8,0-1,10-5 ,2-8  ,8-10 ,20-4,17-3,6-3  ,96.2,90.4,5.8,9-4,0-0,0-0,0-0,12-8,0-0,0-0,0-0,0-0,0-0,0-0,0-0,4-4,7-4,8-2,2-2,0-0,0-0,0-0,0-0,20-10,12-12,1-2,9-0,3175,2984,191,6,NA,0,0-0,2026,Regular Season
10,22026,1611661330,Atlanta,Dream,dream,East,10-4 ,5,,NA,0-0,0,20,12,0.625,2,20-12,12-5,8-7,7-3,7-3,5-5,0-0,4-2,10-7,4,W 4,-4,L 4,5,5,2,W 2,-1,L 1,1,W 1,0.5,0,0,0,0,0,0,0,14-2,6-10,0-0,15-3,5-9,0-0,7-0  ,1-4  ,10-10,7-0,20-6,12-7 ,89.6,86,3.6,10-4,0-0,0-0,0-0,10-8,0-0,0-0,0-0,0-0,0-0,0-0,0-0,5-2,7-5,6-3,2-2,0-0,0-0,0-0,0-0,19-7 ,12-9 ,1-5,8-3,2867,2752,115,6.5,NA,0,0-0,2026,Regular Season
10,22026,1611661322,Washington,Mystics,mystics,East,10-5 ,6,,NA,0-0,0,19,13,0.594,3,19-13,11-6,8-7,7-3,8-2,5-5,2-1,6-2,4-8,6,W 6,3,W 3,7,2,6,W 6,-1,L 1,-1,L 1,1.5,0,0,0,0,0,0,0,11-1,7-10,1-2,12-2,7-11,0-0,3-0  ,2-1  ,11-9 ,14-4,18-11,5-4  ,81.8,82.7,-0.9,10-5,0-0,0-0,0-0,9-8,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-4,6-5,7-3,3-1,0-0,0-0,0-0,0-0,15-3 ,9-7  ,4-10,10-6,2619,2647,-28,7.5,NA,0,0-0,2026,Regular Season
10,22026,1611661321,Dallas,Wings,wings,West,8-8  ,7,,NA,0-0,0,20,14,0.588,4,20-14,10-6,10-8,4-6,6-4,6-4,1-1,4-3,10-6,6,W 6,5,W 5,6,3,1,W 1,-3,L 3,1,W 1,7.5,0,0,0,0,0,0,0,11-4,9-10,0-0,13-5,5-9,2-0,5-0  ,2-2  ,7-13 ,14-5,13-4,13-8 ,89,86.3,2.7,12-6,0-0,0-0,0-0,8-8,0-0,0-0,0-0,0-0,0-0,0-0,0-0,5-3,6-5,7-3,2-3,0-0,0-0,0-0,0-0,19-8 ,12-13,1-6,8-1,3027,2934,93,7.5,NA,0,0-0,2026,Regular Season
10,22026,1611661313,New York,Liberty,liberty,East,9-4  ,8,,NA,0-0,0,20,14,0.588,4,20-14,11-5,9-9,7-3,8-2,3-7,2-0,4-4,10-6,5,W 5,-5,L 5,8,4,4,W 4,-1,L 1,-1,L 1,1.5,0,0,0,0,0,0,0,17-5,3-9,0-0,17-4,3-10,0-0,5-0  ,1-3  ,10-9 ,13-3,17-6,4-1  ,90.8,87.6,3.2,9-4,0-0,0-0,0-0,11-10,0-0,0-0,0-0,0-0,0-0,0-0,0-0,5-4,7-4,4-5,4-1,0-0,0-0,0-0,0-0,19-9 ,13-13,1-5,7-1,3086,2978,108,7.5,NA,0,0-0,2026,Regular Season
10,22026,1611661327,Portland,Fire,fire,West,4-11 ,9,,NA,0-0,0,13,20,0.394,5,13-20,8-10,5-10,3-7,4-6,3-7,0-1,3-2,6-12,-4,L 4,-6,L 6,3,5,-1,L 1,-2,L 2,-1,L 1,14,0,0,0,0,0,0,0,9-4,3-16,1-0,8-1,3-18,2-1,3-2  ,0-10 ,7-13 ,10-5,5-5,9-6  ,86.8,91.6,-4.8,9-9,0-0,0-0,0-0,4-11,0-0,0-0,0-0,0-0,0-0,0-0,0-0,6-4,2-8,3-6,2-2,0-0,0-0,0-0,0-0,10-13,9-19 ,3-7,4-1,2864,3023,-159,14,NA,0,0-0,2026,Regular Season
10,22026,1611661320,Los Angeles,Sparks,sparks,West,7-11 ,10,,NA,0-0,0,12,20,0.375,6,12-20,5-11,7-9,2-8,4-6,2-8,1-0,1-1,3-9,-4,L 4,-7,L 7,3,6,-4,L 4,1,W 1,-2,L 2,14.5,0,0,0,0,0,0,0,5-4,6-16,1-0,7-2,4-17,1-1,5-1  ,2-7  ,7-10 ,9-4,1-5,8-7  ,89.1,93.6,-4.5,5-9,0-0,0-0,0-0,7-11,0-0,0-0,0-0,0-0,0-0,0-0,0-0,4-4,4-6,2-7,2-3,0-0,0-0,0-0,0-0,12-14,11-18,0-6,1-2,2852,2996,-144,14.5,NA,0,0-0,2026,Regular Season
10,22026,1611661317,Phoenix,Mercury,mercury,West,8-10 ,11,,NA,0-0,0,13,22,0.371,7,13-22,5-10,8-12,5-5,4-6,5-5,0-1,2-4,3-10,-5,L 5,-4,L 4,3,6,-1,L 1,1,W 1,1,W 1,15,0,0,0,0,0,0,0,9-7,4-14,0-1,8-3,4-18,1-1,2-2  ,2-4  ,6-16 ,8-5,7-5,7-9  ,83.9,87.4,-3.6,5-12,0-0,0-0,0-0,8-10,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-7,5-6,4-5,2-4,0-0,0-0,0-0,0-0,10-11,7-19 ,3-11,6-3,2935,3060,-125,15,NA,0,0-0,2026,Regular Season
10,22026,1611661329,Chicago,Sky,sky,East,2-10 ,12,,NA,0-0,0,12,22,0.353,5,12-22,8-9,4-13,4-6,7-3,1-9,0-2,1-4,5-8,4,W 4,-6,L 6,2,6,-1,L 1,-6,L 6,-3,L 3,9.5,0,0,0,0,0,0,0,8-3,4-19,0-0,9-5,3-17,0-0,2-3  ,0-5  ,4-15 ,11-5,5-4,8-11 ,87.7,90.2,-2.5,2-10,0-0,0-0,0-0,10-12,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-5,3-8,4-5,2-4,0-0,0-0,0-0,0-0,10-15,8-21 ,2-7,4-1,2982,3066,-84,15.5,NA,0,0-0,2026,Regular Season
10,22026,1611661332,Toronto,Tempo,tempo,East,5-9  ,13,,NA,0-0,0,10,23,0.303,6,10-23,6-11,4-12,0-10,2-8,1-9,1-0,1-2,5-15,-4,L 4,-7,L 7,2,10,-4,L 4,-7,L 7,-10,L 10,11,0,0,0,0,0,0,0,7-4,3-18,0-1,7-3,3-20,0-0,5-0  ,2-9  ,5-18 ,7-7,6-7,5-8  ,87.6,94.1,-6.5,5-9,0-0,0-0,0-0,5-14,0-0,0-0,0-0,0-0,0-0,0-0,0-0,5-4,4-6,1-8,0-5,0-0,0-0,0-0,0-0,10-15,7-21 ,0-8,3-2,2892,3106,-214,17,NA,0,0-0,2026,Regular Season
10,22026,1611661323,Connecticut,Sun,sun,East,2-11 ,14,,NA,0-0,0,8,23,0.258,7,8-23,5-10,3-13,3-7,4-6,2-8,0-1,5-2,3-10,-4,L 4,-6,L 6,2,7,2,W 2,-5,L 5,1,W 1,12,0,0,0,0,0,0,0,7-8,1-14,0-1,7-5,0-16,1-2,0-1  ,0-5  ,3-15 ,8-3,6-11,5-9  ,79.7,86.8,-7.2,2-11,0-0,0-0,0-0,6-12,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-8,2-7,3-7,1-1,0-0,0-0,0-0,0-0,6-13 ,4-19 ,2-10,4-4,2470,2692,-222,18,NA,0,0-0,2026,Regular Season
10,22026,1611661328,Seattle,Storm,storm,West,1-15 ,15, - o,NA,0-0,0,7,28,0.2,8,7-28,5-11,2-17,1-9,3-7,1-9,0-1,0-4,5-14,-5,L 5,-9,L 9,2,11,1,W 1,-8,L 8,1,W 1,21,0,0,0,0,0,1,1,6-6,1-21,0-1,7-5,0-23,0-0,1-3  ,0-6  ,3-16 ,7-11,5-5,3-8  ,83.4,88.6,-5.3,6-13,0-0,0-0,0-0,1-15,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-6,2-9,1-10,1-3,0-0,0-0,0-0,0-0,6-13 ,5-23 ,1-15,2-5,2918,3102,-184,21,NA,0,0-0,2026,Regular Season
