team_id,team_name,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,stl,blk,opp_pts_off_tov,opp_pts_2_nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,stl_rank,blk_rank,opp_pts_off_tov_rank,opp_pts_2_nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,season,league_id,season_type,per_mode
1611661330,Atlanta Dream,32,20,12,0.625,1279.958333,105.6,763,0.724,290,101,520,313,229,1288,12,5,4,5,14,4,11,2,2,14,5,1,1,6,2026,10,Regular Season,Totals
1611661329,Chicago Sky,34,12,22,0.353,1370,108.3,844,0.672,246,156,549,408,325,1386,4,11,11,12,4,10,8,12,7,3,10,11,10,12,2026,10,Regular Season,Totals
1611661323,Connecticut Sun,31,8,23,0.258,1245,107.9,732,0.681,254,144,533,314,261,1216,15,14,13,14,15,7,15,8,6,5,6,2,3,3,2026,10,Regular Season,Totals
1611661321,Dallas Wings,34,20,14,0.588,1370,107.4,860,0.715,232,122,471,357,302,1412,4,5,7,7,4,5,6,3,11,10,3,5,6,13,2026,10,Regular Season,Totals
1611661331,Golden State Valkyries,33,24,9,0.727,1320,101.4,770,0.679,259,132,413,358,254,1080,8,2,2,2,11,1,10,9,4,7,1,6,2,1,2026,10,Regular Season,Totals
1611661325,Indiana Fever,33,21,12,0.636,1335,108,839,0.715,222,131,536,328,339,1436,8,4,4,4,9,8,9,4,13,8,7,3,11,15,2026,10,Regular Season,Totals
1611661319,Las Vegas Aces,34,23,11,0.676,1370,107.8,890,0.689,236,169,449,392,261,1308,4,3,3,3,4,6,2,7,10,1,2,10,3,7,2026,10,Regular Season,Totals
1611661320,Los Angeles Sparks,32,12,20,0.375,1285,112.8,747,0.679,242,100,541,378,340,1328,12,11,9,10,13,14,13,10,9,15,9,9,12,9,2026,10,Regular Season,Totals
1611661324,Minnesota Lynx,35,28,7,0.8,1400,103.2,881,0.678,319,163,511,424,297,1260,1,1,1,1,3,3,3,11,1,2,4,12,5,4,2026,10,Regular Season,Totals
1611661313,New York Liberty,34,20,14,0.588,1370,108.1,914,0.727,208,143,553,366,344,1308,4,5,7,7,4,9,1,1,14,6,11,7,13,7,2026,10,Regular Season,Totals
1611661317,Phoenix Mercury,35,13,22,0.371,1405,108.9,860,0.71,256,114,585,373,307,1274,1,9,11,11,1,12,6,5,5,12,12,8,9,5,2026,10,Regular Season,Totals
1611661327,Portland Fire,33,13,20,0.394,1340,112.6,735,0.653,245,121,607,454,369,1340,8,9,9,9,8,13,14,15,8,11,15,14,15,10,2026,10,Regular Season,Totals
1611661328,Seattle Storm,35,7,28,0.2,1405,108.8,879,0.659,267,150,588,446,364,1348,1,15,15,15,1,11,4,13,3,4,13,13,14,11,2026,10,Regular Season,Totals
1611661332,Toronto Tempo,33,10,23,0.303,1325,115.5,760,0.657,232,105,539,473,304,1416,8,13,13,13,10,15,12,14,11,13,8,15,7,14,2026,10,Regular Season,Totals
1611661322,Washington Mystics,32,19,13,0.594,1309.958333,103.2,871,0.703,175,126,592,345,305,1098,12,8,6,6,12,2,5,6,15,9,14,4,8,2,2026,10,Regular Season,Totals
