team_id,team_name,gp,w,l,w_pct,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,season,league_id,season_type,per_mode
1611661330,Atlanta Dream,32,20,12,0.625,1280,0.496,0.352,0.171,0.367,0.552,0.318,0.204,0.276,12,5,4,5,14,13,3,6,1,15,8,1,2,2026,10,Regular Season,Totals
1611661329,Chicago Sky,34,12,22,0.353,1370,0.499,0.34,0.16,0.279,0.502,0.342,0.168,0.328,4,11,11,12,4,11,4,4,13,5,13,9,12,2026,10,Regular Season,Totals
1611661323,Connecticut Sun,31,8,23,0.258,1245,0.475,0.319,0.185,0.325,0.524,0.372,0.19,0.319,15,14,13,14,15,15,6,13,5,10,15,3,8,2026,10,Regular Season,Totals
1611661321,Dallas Wings,34,20,14,0.588,1370,0.521,0.253,0.147,0.307,0.519,0.28,0.163,0.285,4,5,7,7,4,8,14,1,8,8,5,11,3,2026,10,Regular Season,Totals
1611661331,Golden State Valkyries,33,24,9,0.727,1320,0.507,0.283,0.151,0.323,0.488,0.33,0.19,0.321,8,2,2,2,11,9,11,2,7,2,12,4,9,2026,10,Regular Season,Totals
1611661325,Indiana Fever,33,21,12,0.636,1335,0.562,0.332,0.183,0.326,0.518,0.326,0.16,0.285,8,4,4,4,9,1,5,11,4,7,11,13,4,2026,10,Regular Season,Totals
1611661319,Las Vegas Aces,34,23,11,0.676,1370,0.548,0.29,0.152,0.272,0.508,0.279,0.162,0.311,4,3,3,3,4,3,10,3,14,6,3,12,7,2026,10,Regular Season,Totals
1611661320,Los Angeles Sparks,32,12,20,0.375,1285,0.53,0.291,0.178,0.289,0.548,0.293,0.175,0.321,12,11,9,10,13,5,9,8,12,14,7,6,10,2026,10,Regular Season,Totals
1611661324,Minnesota Lynx,35,28,7,0.8,1400,0.549,0.246,0.16,0.328,0.5,0.28,0.194,0.322,1,1,1,1,3,2,15,5,3,4,6,2,11,2026,10,Regular Season,Totals
1611661313,New York Liberty,34,20,14,0.588,1370,0.542,0.316,0.185,0.324,0.52,0.26,0.147,0.273,4,5,7,7,4,4,7,12,6,9,1,15,1,2026,10,Regular Season,Totals
1611661317,Phoenix Mercury,35,13,22,0.371,1405,0.503,0.358,0.172,0.271,0.536,0.275,0.173,0.29,1,9,11,11,1,10,2,7,15,12,2,7,5,2026,10,Regular Season,Totals
1611661327,Portland Fire,33,13,20,0.394,1340,0.529,0.272,0.189,0.303,0.536,0.347,0.177,0.347,8,9,9,9,8,6,13,14,9,11,14,5,15,2026,10,Regular Season,Totals
1611661328,Seattle Storm,35,7,28,0.2,1405,0.496,0.281,0.182,0.298,0.497,0.324,0.169,0.341,1,15,15,15,1,12,12,10,10,3,10,8,13,2026,10,Regular Season,Totals
1611661332,Toronto Tempo,33,10,23,0.303,1325,0.522,0.305,0.179,0.291,0.541,0.32,0.159,0.343,8,13,13,13,10,7,8,9,11,13,9,14,14,2026,10,Regular Season,Totals
1611661322,Washington Mystics,32,19,13,0.594,1310,0.484,0.391,0.199,0.359,0.487,0.28,0.164,0.297,12,8,6,6,12,14,1,15,2,1,4,10,6,2026,10,Regular Season,Totals
