season_id,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,video_available,season,season_type,player_id,player_name,fantasy_pts,measure_type
22026,1611661313,NYL,New York Liberty,1022600001,2026-05-08,NYL vs. CON,W,200,35,67,0.522,10,31,0.323,26,31,0.839,7,30,37,26,9,5,18,23,106,31,1,2026,regular-season,NA,NA,NA,NA
22026,1611661322,WAS,Washington Mystics,1022600002,2026-05-08,WAS @ TOR,W,200,25,64,0.391,5,24,0.208,13,22,0.591,9,35,44,14,10,5,18,28,68,3,1,2026,regular-season,NA,NA,NA,NA
22026,1611661323,CON,Connecticut Sun,1022600001,2026-05-08,CON @ NYL,L,200,32,83,0.386,4,22,0.182,7,15,0.467,12,20,32,21,5,2,17,25,75,-31,1,2026,regular-season,NA,NA,NA,NA
22026,1611661328,SEA,Seattle Storm,1022600003,2026-05-08,SEA vs. GSV,L,200,26,63,0.413,9,26,0.346,19,27,0.704,13,28,41,16,4,5,14,22,80,-11,1,2026,regular-season,NA,NA,NA,NA
22026,1611661331,GSV,Golden State Valkyries,1022600003,2026-05-08,GSV @ SEA,W,200,31,74,0.419,15,37,0.405,14,22,0.636,13,22,35,22,5,5,9,23,91,11,1,2026,regular-season,NA,NA,NA,NA
22026,1611661332,TOR,Toronto Tempo,1022600002,2026-05-08,TOR vs. WAS,L,200,17,63,0.27,5,25,0.2,26,35,0.743,9,28,37,10,10,2,16,26,65,-3,1,2026,regular-season,NA,NA,NA,NA
22026,1611661321,DAL,Dallas Wings,1022600004,2026-05-09,DAL @ IND,W,200,39,66,0.591,12,23,0.522,17,24,0.708,3,24,27,26,9,2,17,28,107,3,1,2026,regular-season,NA,NA,NA,NA
22026,1611661324,MIN,Minnesota Lynx,1022600010,2026-05-09,MIN vs. ATL,L,200,35,70,0.5,5,18,0.278,15,22,0.682,7,18,25,20,10,7,15,24,90,-1,1,2026,regular-season,NA,NA,NA,NA
22026,1611661325,IND,Indiana Fever,1022600004,2026-05-09,IND vs. DAL,L,200,40,77,0.519,7,24,0.292,17,21,0.81,7,21,28,23,4,2,14,25,104,-3,1,2026,regular-season,NA,NA,NA,NA
22026,1611661327,PDX,Portland Fire,1022600006,2026-05-09,PDX vs. CHI,L,200,29,71,0.408,9,29,0.31,16,20,0.8,3,21,24,20,6,7,8,24,83,-15,1,2026,regular-season,NA,NA,NA,NA
22026,1611661329,CHI,Chicago Sky,1022600006,2026-05-09,CHI @ PDX,W,200,33,69,0.478,6,17,0.353,26,34,0.765,14,32,46,22,4,8,11,17,98,15,1,2026,regular-season,NA,NA,NA,NA
22026,1611661330,ATL,Atlanta Dream,1022600010,2026-05-09,ATL @ MIN,W,200,31,73,0.425,7,29,0.241,22,30,0.733,19,27,46,22,9,6,21,18,91,1,1,2026,regular-season,NA,NA,NA,NA
22026,1611661319,LVA,Las Vegas Aces,1022600005,2026-05-09,LVA vs. PHX,L,200,29,71,0.408,4,19,0.211,4,8,0.5,6,29,35,19,5,8,17,15,66,-33,1,2026,regular-season,NA,NA,NA,NA
22026,1611661317,PHX,Phoenix Mercury,1022600005,2026-05-09,PHX @ LVA,W,200,38,77,0.494,11,24,0.458,12,15,0.8,7,30,37,23,11,4,8,10,99,33,1,2026,regular-season,NA,NA,NA,NA
22026,1611661313,NYL,New York Liberty,1022600008,2026-05-10,NYL @ WAS,W,225,33,69,0.478,9,27,0.333,23,28,0.821,8,26,34,19,7,5,16,31,98,5,1,2026,regular-season,NA,NA,NA,NA
22026,1611661317,PHX,Phoenix Mercury,1022600011,2026-05-10,PHX @ GSV,L,200,26,54,0.481,11,22,0.5,16,19,0.842,4,20,24,20,2,3,17,21,79,-16,1,2026,regular-season,NA,NA,NA,NA
22026,1611661319,LVA,Las Vegas Aces,1022600009,2026-05-10,LVA @ LAS,W,200,43,69,0.623,7,20,0.35,12,17,0.706,6,25,31,28,11,10,15,16,105,27,1,2026,regular-season,NA,NA,NA,NA
22026,1611661320,LAS,Los Angeles Sparks,1022600009,2026-05-10,LAS vs. LVA,L,200,29,78,0.372,9,31,0.29,11,16,0.688,15,17,32,11,8,0,19,17,78,-27,1,2026,regular-season,NA,NA,NA,NA
22026,1611661322,WAS,Washington Mystics,1022600008,2026-05-10,WAS vs. NYL,L,225,34,80,0.425,5,26,0.192,20,29,0.69,19,23,42,24,7,1,13,27,93,-5,1,2026,regular-season,NA,NA,NA,NA
22026,1611661323,CON,Connecticut Sun,1022600007,2026-05-10,CON vs. SEA,L,200,29,73,0.397,8,23,0.348,16,22,0.727,10,31,41,18,7,3,18,28,82,-7,1,2026,regular-season,NA,NA,NA,NA
22026,1611661328,SEA,Seattle Storm,1022600007,2026-05-10,SEA @ CON,W,200,27,61,0.443,10,22,0.455,25,33,0.758,7,25,32,14,10,8,15,22,89,7,1,2026,regular-season,NA,NA,NA,NA
22026,1611661331,GSV,Golden State Valkyries,1022600011,2026-05-10,GSV vs. PHX,W,200,33,67,0.493,13,33,0.394,16,18,0.889,6,24,30,25,10,4,11,21,95,16,1,2026,regular-season,NA,NA,NA,NA
22026,1611661313,NYL,New York Liberty,1022600014,2026-05-12,NYL @ PDX,L,200,33,62,0.532,13,28,0.464,17,18,0.944,8,23,31,23,7,3,18,16,96,-2,1,2026,regular-season,NA,NA,NA,NA
22026,1611661317,PHX,Phoenix Mercury,1022600013,2026-05-12,PHX vs. MIN,L,200,26,71,0.366,9,29,0.31,23,33,0.697,9,22,31,20,11,4,11,22,84,-4,1,2026,regular-season,NA,NA,NA,NA
22026,1611661321,DAL,Dallas Wings,1022600012,2026-05-12,DAL vs. ATL,L,200,28,73,0.384,4,26,0.154,12,14,0.857,7,27,34,15,3,4,10,17,72,-5,1,2026,regular-season,NA,NA,NA,NA
22026,1611661324,MIN,Minnesota Lynx,1022600013,2026-05-12,MIN @ PHX,W,200,32,64,0.5,7,19,0.368,17,24,0.708,9,34,43,20,5,4,15,28,88,4,1,2026,regular-season,NA,NA,NA,NA
22026,1611661327,PDX,Portland Fire,1022600014,2026-05-12,PDX vs. NYL,W,200,34,68,0.5,15,33,0.455,15,15,1,8,18,26,15,8,4,14,21,98,2,1,2026,regular-season,NA,NA,NA,NA
22026,1611661330,ATL,Atlanta Dream,1022600012,2026-05-12,ATL @ DAL,W,200,26,69,0.377,9,33,0.273,16,17,0.941,11,33,44,13,5,3,12,18,77,5,1,2026,regular-season,NA,NA,NA,NA
22026,1611661319,LVA,Las Vegas Aces,1022600016,2026-05-13,LVA @ CON,W,200,39,72,0.542,5,16,0.313,15,21,0.714,12,34,46,21,9,6,16,19,98,29,1,2026,regular-season,NA,NA,NA,NA
22026,1611661320,LAS,Los Angeles Sparks,1022600018,2026-05-13,LAS vs. IND,L,200,28,57,0.491,2,15,0.133,20,25,0.8,4,20,24,13,12,4,19,24,78,-9,1,2026,regular-season,NA,NA,NA,NA
22026,1611661323,CON,Connecticut Sun,1022600016,2026-05-13,CON vs. LVA,L,200,23,70,0.329,3,13,0.231,20,24,0.833,8,21,29,16,6,3,14,20,69,-29,1,2026,regular-season,NA,NA,NA,NA
22026,1611661325,IND,Indiana Fever,1022600018,2026-05-13,IND @ LAS,W,200,31,63,0.492,9,30,0.3,16,19,0.842,8,25,33,23,7,3,17,24,87,9,1,2026,regular-season,NA,NA,NA,NA
22026,1611661328,SEA,Seattle Storm,1022600015,2026-05-13,SEA @ TOR,L,200,27,58,0.466,7,20,0.35,12,17,0.706,3,25,28,18,6,5,19,21,73,-13,1,2026,regular-season,NA,NA,NA,NA
22026,1611661329,CHI,Chicago Sky,1022600017,2026-05-13,CHI @ GSV,W,200,25,69,0.362,6,20,0.3,13,21,0.619,8,31,39,19,7,8,9,19,69,6,1,2026,regular-season,NA,NA,NA,NA
22026,1611661331,GSV,Golden State Valkyries,1022600017,2026-05-13,GSV vs. CHI,L,200,22,75,0.293,7,26,0.269,12,16,0.75,14,28,42,10,3,9,11,19,63,-6,1,2026,regular-season,NA,NA,NA,NA
22026,1611661332,TOR,Toronto Tempo,1022600015,2026-05-13,TOR vs. SEA,W,200,30,69,0.435,11,29,0.379,15,18,0.833,9,24,33,21,11,4,12,17,86,13,1,2026,regular-season,NA,NA,NA,NA
22026,1611661313,NYL,New York Liberty,1022600020,2026-05-14,NYL @ PDX,W,200,34,67,0.507,15,38,0.395,17,20,0.85,4,28,32,32,7,0,12,19,100,18,1,2026,regular-season,NA,NA,NA,NA
22026,1611661321,DAL,Dallas Wings,1022600019,2026-05-14,DAL vs. MIN,L,200,31,67,0.463,5,17,0.294,19,22,0.864,9,17,26,22,9,3,13,18,86,-4,1,2026,regular-season,NA,NA,NA,NA
22026,1611661324,MIN,Minnesota Lynx,1022600019,2026-05-14,MIN @ DAL,W,200,35,58,0.603,6,13,0.462,14,18,0.778,6,25,31,20,6,7,17,19,90,4,1,2026,regular-season,NA,NA,NA,NA
22026,1611661327,PDX,Portland Fire,1022600020,2026-05-14,PDX vs. NYL,L,200,30,68,0.441,9,31,0.29,13,20,0.65,7,23,30,22,7,2,16,22,82,-18,1,2026,regular-season,NA,NA,NA,NA
22026,1611661317,PHX,Phoenix Mercury,1022600024,2026-05-15,PHX vs. CHI,W,200,24,62,0.387,6,21,0.286,37,41,0.902,10,30,40,12,5,7,15,22,91,8,1,2026,regular-season,NA,NA,NA,NA
22026,1611661319,LVA,Las Vegas Aces,1022600021,2026-05-15,LVA @ CON,W,200,35,58,0.603,6,13,0.462,25,32,0.781,3,25,28,24,6,6,18,18,101,7,1,2026,regular-season,NA,NA,NA,NA
22026,1611661320,LAS,Los Angeles Sparks,1022600023,2026-05-15,LAS vs. TOR,W,200,37,58,0.638,9,21,0.429,16,20,0.8,2,22,24,26,6,1,16,18,99,4,1,2026,regular-season,NA,NA,NA,NA
22026,1611661322,WAS,Washington Mystics,1022600022,2026-05-15,WAS @ IND,W,225,38,68,0.559,6,16,0.375,22,28,0.786,8,36,44,18,3,8,21,28,104,2,1,2026,regular-season,NA,NA,NA,NA
22026,1611661323,CON,Connecticut Sun,1022600021,2026-05-15,CON vs. LVA,L,200,36,81,0.444,9,25,0.36,13,15,0.867,11,21,32,24,11,2,13,25,94,-7,1,2026,regular-season,NA,NA,NA,NA
