game_id,season,season_type,game_date,matchup,home_team_id,home_team_abbreviation,home_team_name,home_pts,home_wl,away_team_id,away_team_abbreviation,away_team_name,away_pts,away_wl
1022600001,2026,regular-season,2026-05-08,NYL vs. CON,1611661313,NYL,New York Liberty,106,W,1611661323,CON,Connecticut Sun,75,L
1022600002,2026,regular-season,2026-05-08,TOR vs. WAS,1611661332,TOR,Toronto Tempo,65,L,1611661322,WAS,Washington Mystics,68,W
1022600003,2026,regular-season,2026-05-08,SEA vs. GSV,1611661328,SEA,Seattle Storm,80,L,1611661331,GSV,Golden State Valkyries,91,W
1022600004,2026,regular-season,2026-05-09,IND vs. DAL,1611661325,IND,Indiana Fever,104,L,1611661321,DAL,Dallas Wings,107,W
1022600005,2026,regular-season,2026-05-09,LVA vs. PHX,1611661319,LVA,Las Vegas Aces,66,L,1611661317,PHX,Phoenix Mercury,99,W
1022600006,2026,regular-season,2026-05-09,PDX vs. CHI,1611661327,PDX,Portland Fire,83,L,1611661329,CHI,Chicago Sky,98,W
1022600007,2026,regular-season,2026-05-10,CON vs. SEA,1611661323,CON,Connecticut Sun,82,L,1611661328,SEA,Seattle Storm,89,W
1022600008,2026,regular-season,2026-05-10,WAS vs. NYL,1611661322,WAS,Washington Mystics,93,L,1611661313,NYL,New York Liberty,98,W
1022600009,2026,regular-season,2026-05-10,LAS vs. LVA,1611661320,LAS,Los Angeles Sparks,78,L,1611661319,LVA,Las Vegas Aces,105,W
1022600010,2026,regular-season,2026-05-09,MIN vs. ATL,1611661324,MIN,Minnesota Lynx,90,L,1611661330,ATL,Atlanta Dream,91,W
1022600011,2026,regular-season,2026-05-10,GSV vs. PHX,1611661331,GSV,Golden State Valkyries,95,W,1611661317,PHX,Phoenix Mercury,79,L
1022600012,2026,regular-season,2026-05-12,DAL vs. ATL,1611661321,DAL,Dallas Wings,72,L,1611661330,ATL,Atlanta Dream,77,W
1022600013,2026,regular-season,2026-05-12,PHX vs. MIN,1611661317,PHX,Phoenix Mercury,84,L,1611661324,MIN,Minnesota Lynx,88,W
1022600014,2026,regular-season,2026-05-12,PDX vs. NYL,1611661327,PDX,Portland Fire,98,W,1611661313,NYL,New York Liberty,96,L
1022600015,2026,regular-season,2026-05-13,TOR vs. SEA,1611661332,TOR,Toronto Tempo,86,W,1611661328,SEA,Seattle Storm,73,L
1022600016,2026,regular-season,2026-05-13,CON vs. LVA,1611661323,CON,Connecticut Sun,69,L,1611661319,LVA,Las Vegas Aces,98,W
1022600017,2026,regular-season,2026-05-13,GSV vs. CHI,1611661331,GSV,Golden State Valkyries,63,L,1611661329,CHI,Chicago Sky,69,W
1022600018,2026,regular-season,2026-05-13,LAS vs. IND,1611661320,LAS,Los Angeles Sparks,78,L,1611661325,IND,Indiana Fever,87,W
1022600019,2026,regular-season,2026-05-14,DAL vs. MIN,1611661321,DAL,Dallas Wings,86,L,1611661324,MIN,Minnesota Lynx,90,W
