team,identity_summary,generation_pctile,making_pctile,generation_tier,making_tier,trajectory,interval_spans_zero,trajectory_display,cap_context,below_floor,lever_raw,lever
LVA,"low driving rate, high pullup rate",7,100,1,3,declining,TRUE,declining*,capped,FALSE,acquire,acquire (constrained: requires salary out)
NYL,"high 3PA rate, high above-break-3 rate",14,79,1,3,declining,TRUE,declining*,tight,FALSE,acquire,"acquire (constrained: limited room, minimum/depth only)"
PHX,"high transition rate, low rim rate",21,36,1,2,improving,TRUE,improving*,tight,FALSE,acquire,"acquire (constrained: limited room, minimum/depth only)"
SEA,"low rim rate, high above-break-3 rate",29,29,1,1,improving,TRUE,improving*,tight,FALSE,acquire,"acquire (constrained: limited room, minimum/depth only)"
WAS,"high paint scoring, low transition rate",0,7,1,1,declining,FALSE,declining,room (below floor),TRUE,acquire,acquire
IND,"low transition rate, high above-break-3 rate",36,86,2,3,improving,FALSE,improving,tight,FALSE,adjust,adjust
LAS,"low mid-range rate, high above-break-3 rate",43,64,2,2,declining,TRUE,declining*,tight,FALSE,adjust,adjust
PDX,"low mid-range rate, low pullup rate",64,43,2,2,declining,TRUE,declining*,room (below floor),TRUE,adjust,adjust
TOR,"low paint scoring, high 3PA rate",50,57,2,2,improving,TRUE,improving*,tight,FALSE,adjust,adjust
ATL,"high rim rate, low mid-range rate",100,0,3,1,declining,TRUE,declining*,tight,FALSE,hold,hold
CHI,"high rim rate, high driving rate",79,21,3,1,improving,TRUE,improving*,capped,FALSE,hold,hold
CON,"low 3PA rate, low above-break-3 rate",57,14,2,1,improving,TRUE,improving*,tight,FALSE,hold,hold
DAL,"high transition rate, high pullup rate",93,71,3,3,improving,TRUE,improving*,tight,FALSE,hold,hold
GSV,"low paint scoring, high above-break-3 rate",71,50,3,2,improving,TRUE,improving*,capped,FALSE,hold,hold
MIN,"high mid-range rate, high transition rate",86,93,3,3,declining,TRUE,declining*,tight,FALSE,hold,hold
