metric,icc_approx,icc_floored
mid_share,0.5285911489406633,0.5285911489406633
fg3a_rate,0.34902123692058706,0.34902123692058706
atb3_share,0.3006270256862481,0.3006270256862481
pullup_share,0.28476153229547485,0.28476153229547485
ra_share,0.2581879685928153,0.2581879685928153
paint_fgm_share,0.22134985824737788,0.22134985824737788
driving_share,0.2122006536719084,0.2122006536719084
transition_share,0.17858788907931636,0.17858788907931636
cutting_share,0.13778114110005038,0.13778114110005038
tov_rate,0.10813019799417864,0.10813019799417864
live_ball_tov_rate,0.09238066503130331,0.09238066503130331
pace_formula,0.08548485050065695,0.08548485050065695
ft_rate,0.08396294660613618,0.08396294660613618
paint_share,0.0823673773663332,0.0823673773663332
corner3_share,0.07534240374217012,0.07534240374217012
putback_share,0.07309792270976477,0.07309792270976477
pace_poss,0.059210845611763485,0.059210845611763485
secondchance_share,0.03967080113085903,0.03967080113085903
transition_pts_per_poss,0.02543105802710951,0.02543105802710951
off_tov_share,0.012068339712460999,0.012068339712460999
assisted_rate,-0.002612652040431843,0
