team,window,action,personId,playerName,current_team,position,production_tier,games,minutes,prod_score,primary_bucket,advantage,creation,style_match,profile,contract_band,movability,affordability,actionable,status,n_target_teams
IND,buyer,adjust,1629484,Gustafson,PDX,NA,upper rotation,24,549.2,94.88,rim,upper rotation rim finishing,off-ball finisher,0.8813788829854378,rim 45 / mid 20 / three 36,mid,available,affordable (tight),TRUE,target,1
IND,buyer,adjust,1627674,Copper,PHX,NA,upper rotation,24,777.2,94.29,three,upper rotation perimeter shooting,combo creator/finisher,0.9491147094430993,rim 28 / mid 33 / three 39,max,available,over-tier (tight cannot absorb max),FALSE,context,0
IND,buyer,adjust,1642800,Morrow,CON,NA,upper rotation,17,385.7,49.91,rim,upper rotation rim finishing,combo creator/finisher,0.8774383110700003,rim 45 / mid 24 / three 31,min,NA,affordable (tight),FALSE,context,0
IND,buyer,adjust,1631083,Engstler,PDX,NA,rotation,25,595.8,67.17,three,rotation perimeter shooting,off-ball finisher,0.9899781175952662,rim 34 / mid 27 / three 40,min,available,affordable (tight),TRUE,target,3
IND,buyer,adjust,1643428,Johnson,SEA,NA,rotation,26,739.5,59.87,three,rotation perimeter shooting,combo creator/finisher,0.9700501669594391,rim 32 / mid 31 / three 38,min,NA,affordable (tight),FALSE,context,0
IND,buyer,adjust,1630996,Burrell,LAS,NA,rotation,23,637.4,42.49,three,rotation perimeter shooting,combo creator/finisher,0.9656430331409799,rim 36 / mid 26 / three 38,min,available,affordable (tight),TRUE,target,2
DAL,buyer,amplify,203014,Ogwumike,LAS,NA,top,22,694.9,181.76,mid,top mid-range scoring,off-ball finisher,0.9575320363454851,rim 31 / mid 39 / three 30,mid,available,affordable (tight),TRUE,target,2
DAL,buyer,amplify,1628276,Plum,LAS,NA,top,12,413.9,117.64,three,top perimeter shooting,on-ball creator,0.9076457806911536,rim 24 / mid 32 / three 43,max,core,over-tier (tight cannot absorb max),FALSE,context,0
DAL,buyer,amplify,1642304,Leite,PDX,NA,top,23,585.8,111.56,mid,top mid-range scoring,on-ball creator,0.8615031554790591,rim 35 / mid 45 / three 20,min,NA,affordable (tight),FALSE,context,0
DAL,buyer,amplify,1629567,Hiedeman,SEA,NA,upper rotation,26,755.7,117.04,three,upper rotation perimeter shooting,combo creator/finisher,0.8781309908624043,rim 16 / mid 38 / three 46,mid,available,affordable (tight),TRUE,target,1
DAL,buyer,amplify,1627674,Copper,PHX,NA,upper rotation,24,777.2,94.29,three,upper rotation perimeter shooting,combo creator/finisher,0.9397142139988526,rim 28 / mid 33 / three 39,max,available,over-tier (tight cannot absorb max),FALSE,context,0
DAL,buyer,amplify,203400,Diggins,CHI,NA,upper rotation,19,552.9,77.73,mid,upper rotation mid-range scoring,combo creator/finisher,0.964987362577724,rim 27 / mid 42 / three 31,mid,available,affordable (tight),TRUE,target,2
GSV,buyer,amplify,1628276,Plum,LAS,NA,top,12,413.9,117.64,three,top perimeter shooting,on-ball creator,0.9823303537706156,rim 24 / mid 32 / three 43,max,core,over-tier (capped cannot absorb max),FALSE,context,0
GSV,buyer,amplify,1629567,Hiedeman,SEA,NA,upper rotation,26,755.7,117.04,three,upper rotation perimeter shooting,combo creator/finisher,0.929542502525617,rim 16 / mid 38 / three 46,mid,available,over-tier (capped cannot absorb mid),FALSE,context,1
GSV,buyer,amplify,1627674,Copper,PHX,NA,upper rotation,24,777.2,94.29,three,upper rotation perimeter shooting,combo creator/finisher,0.9421042899408284,rim 28 / mid 33 / three 39,max,available,over-tier (capped cannot absorb max),FALSE,context,0
GSV,buyer,amplify,1631083,Engstler,PDX,NA,rotation,25,595.8,67.17,three,rotation perimeter shooting,off-ball finisher,0.8920956871183116,rim 34 / mid 27 / three 40,min,available,affordable (capped),TRUE,target,3
GSV,buyer,amplify,1643428,Johnson,SEA,NA,rotation,26,739.5,59.87,three,rotation perimeter shooting,combo creator/finisher,0.9120006187879491,rim 32 / mid 31 / three 38,min,NA,affordable (capped),FALSE,context,0
GSV,buyer,amplify,1630996,Burrell,LAS,NA,rotation,23,637.4,42.49,three,rotation perimeter shooting,combo creator/finisher,0.8677606026640252,rim 36 / mid 26 / three 38,min,available,affordable (capped),TRUE,target,2
MIN,buyer,amplify,203014,Ogwumike,LAS,NA,top,22,694.9,181.76,mid,top mid-range scoring,off-ball finisher,0.9542678474086417,rim 31 / mid 39 / three 30,mid,available,affordable (tight),TRUE,target,2
MIN,buyer,amplify,1628276,Plum,LAS,NA,top,12,413.9,117.64,three,top perimeter shooting,on-ball creator,0.8882372552585318,rim 24 / mid 32 / three 43,max,core,over-tier (tight cannot absorb max),FALSE,context,0
MIN,buyer,amplify,1642304,Leite,PDX,NA,top,23,585.8,111.56,mid,top mid-range scoring,on-ball creator,0.8809116809116809,rim 35 / mid 45 / three 20,min,NA,affordable (tight),FALSE,context,0
MIN,buyer,amplify,1627674,Copper,PHX,NA,upper rotation,24,777.2,94.29,three,upper rotation perimeter shooting,combo creator/finisher,0.9284633190883191,rim 28 / mid 33 / three 39,max,available,over-tier (tight cannot absorb max),FALSE,context,0
MIN,buyer,amplify,203400,Diggins,CHI,NA,upper rotation,19,552.9,77.73,mid,upper rotation mid-range scoring,combo creator/finisher,0.9207361207361207,rim 27 / mid 42 / three 31,mid,available,affordable (tight),TRUE,target,2
MIN,buyer,amplify,1631083,Engstler,PDX,NA,rotation,25,595.8,67.17,three,rotation perimeter shooting,off-ball finisher,0.9232201349848409,rim 34 / mid 27 / three 40,min,available,affordable (tight),TRUE,target,3
