personId,playerName,team,games,minutes,minutes_method,FGA,poss_used,game_score,gs_rate,rate_unit,replacement_rate,prod_score,eligible,production_tier
1628932,Wilson,LVA,22,696.6,reconstructed,390,519.9,476.9,27.385,per40min,9.207,316.56,TRUE,top
1642784,Bueckers,DAL,23,769.8,reconstructed,353,434.5,386.6,20.09,per40min,9.207,209.42,TRUE,top
1629491,Shepard,DAL,24,788.5,reconstructed,246,331.2,388.8,19.724,per40min,9.207,207.3,TRUE,top
1627668,Stewart,NYL,23,758.3,reconstructed,336,461.4,378.5,19.965,per40min,9.207,203.95,TRUE,top
1643426,Miles,MIN,23,699.8,reconstructed,303,430.7,356.7,20.389,per40min,9.207,195.62,TRUE,top
203827,Howard,MIN,25,755.3,reconstructed,287,405.6,361.8,19.161,per40min,9.207,187.94,TRUE,top
1628909,Mitchell,IND,24,782,reconstructed,385,483.2,363.8,18.61,per40min,9.207,183.81,TRUE,top
203014,Ogwumike,LAS,22,694.9,reconstructed,277,338.5,341.7,19.67,per40min,9.207,181.76,TRUE,top
1641648,Boston,IND,22,605.9,reconstructed,269,365.7,310.8,20.52,per40min,9.207,171.34,TRUE,top
1642289,Cardoso,CHI,23,617.9,reconstructed,221,303.4,304.7,19.724,per40min,9.207,162.46,TRUE,top
1629497,Mabrey,TOR,23,673.2,reconstructed,358,474.6,312.8,18.587,per40min,9.207,157.85,TRUE,top
1629498,Young,LVA,24,775,reconstructed,311,389.6,329.1,16.985,per40min,9.207,150.7,TRUE,top
1631009,Howard,ATL,23,803.4,reconstructed,329,398.2,335.2,16.689,per40min,9.207,150.26,TRUE,top
1627673,Jones,NYL,23,683.9,reconstructed,227,314.5,305.1,17.845,per40min,9.207,147.67,TRUE,top
203826,Thomas,PHX,23,767.8,reconstructed,251,382.1,320.3,16.686,per40min,9.207,143.55,TRUE,top
203825,McBride,MIN,25,806.7,reconstructed,321,401.8,326.4,16.185,per40min,9.207,140.71,TRUE,upper rotation
1642286,Clark,IND,20,588.8,reconstructed,302,441.4,266.1,18.077,per40min,9.207,130.57,TRUE,top
1642291,Reese,ATL,23,705.4,reconstructed,284,428.1,290.9,16.496,per40min,9.207,128.53,TRUE,upper rotation
204324,Hamby,LAS,23,683.7,reconstructed,237,328.5,282,16.498,per40min,9.207,124.62,TRUE,upper rotation
1628276,Plum,LAS,12,413.9,reconstructed,188,256.7,212.9,20.577,per40min,9.207,117.64,TRUE,top
