team,wins,losses,win_pct,point_diff,point_diff_per_game,standing_score,rank,games_back_from_8th,window_rank,window
MIN,19,6,0.76,222,8.88,1.6430908707296608,1,-6,1,buyer
GSV,18,7,0.72,152,6.08,1.2467887536540538,2,-5,2,buyer
LVA,17,7,0.7083333333333334,96,4,1.0049168359513942,3,-4.5,3,buyer
DAL,16,8,0.6666666666666666,98,4.083333333333333,0.8919845058623177,4,-3.5,4,buyer
IND,14,10,0.5833333333333334,101,4.208333333333333,0.6619548126953041,5,-1.5,5,buyer
ATL,14,10,0.5833333333333334,85,3.5416666666666665,0.5953142848735232,6,-1.5,6,bubble
NYL,13,11,0.5416666666666666,81,3.375,0.457391756851279,7,-0.5,7,bubble
WAS,12,11,0.5217391304347826,-65,-2.8260869565217392,-0.22046886391424383,8,0,8,bubble
PDX,11,14,0.44,-130,-5.2,-0.6956522786593662,9,2,11,seller
LAS,10,13,0.43478260869565216,-106,-4.608695652173913,-0.6517291887944989,10,2,10,seller
TOR,10,14,0.4166666666666667,-70,-2.9166666666666665,-0.5353154126671741,11,2.5,9,bubble
CHI,8,16,0.3333333333333333,-71,-2.9583333333333335,-0.7820052377896333,12,4.5,12,seller
PHX,8,17,0.32,-100,-4,-0.9249350292525413,13,5,13,seller
CON,6,18,0.25,-160,-6.666666666666667,-1.3952179659318868,14,6.5,15,seller
SEA,6,20,0.23076923076923078,-133,-5.115384615384615,-1.2961178436081884,15,7.5,14,seller
