team,fga,poss_count,expected_pts,actual_pts,shot_generation_per100,shot_making_per100,actual_pts_per100
ATL,1700,1958,1826.4706587391192,1674,93.28246469556278,-7.787061222631218,85.49540347293157
CHI,1662,2009,1740.2020254692811,1629,86.62030987900852,-5.535192905389802,81.08511697361872
CON,1634,1944,1663.495340725093,1540,85.57074797968586,-6.352640983801081,79.21810699588477
DAL,1743,1945,1747.811396724453,1813,89.86176846912355,3.351599140130948,93.21336760925449
GSV,1690,1930,1665.5355853991034,1678,86.29718059062712,0.6458245907200305,86.94300518134716
IND,1652,2019,1699.329595496083,1794,84.1668942791522,4.68897496304691,88.8558692421991
LAS,1584,1933,1633.009733413969,1653,84.48058631215567,1.0341576092100937,85.51474392136575
LVA,1631,1948,1588.9402561114018,1773,81.56777495438408,9.448652150338715,91.0164271047228
MIN,1755,2045,1802.9188333745785,1899,88.16229014056618,4.698345556255329,92.86063569682152
NYL,1559,1948,1597.9299276696104,1669,82.02925706722846,3.6483610025867366,85.6776180698152
PDX,1684,2028,1747.7633028997786,1734,86.18162243095556,-0.6786638510738973,85.50295857988166
PHX,1637,2014,1653.5009516398052,1639,82.10034516582945,-0.7200075292852621,81.38033763654418
SEA,1744,2114,1748.501539419859,1705,82.71057423935,-2.05778332165842,80.65279091769158
TOR,1630,1981,1681.1872024542824,1701,84.86558316276034,1.0001412188650962,85.86572438162544
WAS,1489,1902,1536.976315700936,1409,80.80842879605342,-6.7285129180302885,74.07991587802313
