team,raw_value,raw_rank,adjusted_value,adjusted_rank,delta,metric
ATL,81.58333333333333,6,81.63899058506607,6,0,pace_per40
CHI,82.83333333333333,3,82.64636134198136,3,0,pace_per40
CON,80.57870370370371,11,80.66401701898792,10,1,pace_per40
DAL,80.61574074074073,10,80.37157956347892,11,-1,pace_per40
GSV,77.2,15,77.40449599696113,15,0,pace_per40
IND,83.23148148148148,2,83.21630173401742,1,1,pace_per40
LAS,83.61352657004831,1,82.97826003787962,2,-1,pace_per40
LVA,80.74537037037037,9,80.85571936714487,9,0,pace_per40
MIN,81.8,5,81.82528350559218,5,0,pace_per40
NYL,80.75925925925925,8,81.11179644060628,8,0,pace_per40
PDX,79.57333333333334,14,79.54150893227825,14,0,pace_per40
PHX,80.15555555555555,12,79.87719418215971,13,-1,pace_per40
SEA,80.90598290598291,7,81.18185096793019,7,0,pace_per40
TOR,82.11574074074073,4,81.83677892404577,4,0,pace_per40
WAS,80.06280193236715,13,79.91141043345088,12,1,pace_per40
ATL,0.3768439734218608,9,0.3794005155338156,8,1,fg3a_rate
CHI,0.3354437835184549,12,0.33456188014133825,12,0,fg3a_rate
CON,0.26667740704615084,15,0.2698774163662335,15,0,fg3a_rate
DAL,0.3398958494501467,10,0.3384431396288266,11,-1,fg3a_rate
GSV,0.447567393915426,1,0.44476879898684474,1,0,fg3a_rate
IND,0.396953168780746,5,0.3907373932339466,5,0,fg3a_rate
LAS,0.3847354582040725,6,0.3854128776179958,6,0,fg3a_rate
LVA,0.3375165592741474,11,0.34233314387878216,10,1,fg3a_rate
MIN,0.3191093666184324,13,0.3227896043612729,13,0,fg3a_rate
NYL,0.44063780718758583,2,0.4345205980680261,2,0,fg3a_rate
PDX,0.41829884329296485,3,0.41908422627421604,3,0,fg3a_rate
PHX,0.3805651088154472,8,0.3810395450728583,7,1,fg3a_rate
SEA,0.38071033904275337,7,0.3793168625513716,9,-2,fg3a_rate
TOR,0.4107371789020958,4,0.40789157560126826,4,0,fg3a_rate
WAS,0.3068251270943698,14,0.3094367316939221,14,0,fg3a_rate
ATL,0.6448438157184941,12,0.6489674768378704,12,0,assisted_rate
CHI,0.6835379363607019,3,0.649378399450521,4,-1,assisted_rate
CON,0.6511032069178763,11,0.6490055915035722,11,0,assisted_rate
DAL,0.6573671514113818,10,0.6491891472087566,8,2,assisted_rate
GSV,0.6339357946655892,13,0.6489047445612351,13,0,assisted_rate
IND,0.6316039966401967,14,0.6488134308957829,15,-1,assisted_rate
LAS,0.6615844015824257,7,0.6492203971689944,7,0,assisted_rate
