player_id,player_name,team,position,gp,minutes,gmsc_per40,production_tier,rapm,o_rapm,d_rapm,rapm_tier,contested_shots_pg,deflections_pg,hustle_tier,off_rating,def_rating,net_rating,ts_pct,usg_pct
1643424,Costanza Verona,DAL,G,1,5.783333333333333,33.199,below threshold,NA,NA,NA,NA,NA,NA,NA,66.7,100,-33.3,1,0.154
1628932,A'ja Wilson,LVA,C,31,994.295,28.265,top,NA,NA,NA,NA,NA,NA,NA,117.8,105,12.7,0.62,0.323
1629483,Napheesa Collier,MIN,F,8,236.175,22.949,top,NA,NA,NA,NA,NA,NA,NA,120.9,104.3,16.7,0.621,0.257
1641648,Aliyah Boston,IND,C,30,815.9233333333333,21.267,top,NA,NA,NA,NA,NA,NA,NA,113.8,105.1,8.7,0.622,0.253
1627668,Breanna Stewart,NYL,F,33,1094.3266666666666,21.178,top,NA,NA,NA,NA,NA,NA,NA,112.6,108.2,4.4,0.575,0.271
1630150,Chennedy Carter,LVA,G,13,219.92833333333337,21.061,top,NA,NA,NA,NA,NA,NA,NA,112.4,107.3,5.1,0.684,0.26
1642286,Caitlin Clark,IND,G,29,881.7616666666667,20.763,top,NA,NA,NA,NA,NA,NA,NA,113.8,108.2,5.7,0.603,0.309
1628276,Kelsey Plum,PHX,G,16,502.72833333333335,20.655,top,NA,NA,NA,NA,NA,NA,NA,110.6,112.1,-1.5,0.658,0.273
1643426,Olivia Miles,MIN,G,33,1023.4633333333334,20.358,top,NA,NA,NA,NA,NA,NA,NA,115.4,101.9,13.5,0.61,0.261
1628909,Kelsey Mitchell,IND,G,33,1083.513333333333,20.238,top,NA,NA,NA,NA,NA,NA,NA,116.8,107.5,9.3,0.639,0.263
1642289,Kamilla Cardoso,CHI,C,33,870.1833333333333,19.987,top,NA,NA,NA,NA,NA,NA,NA,105.9,109.2,-3.3,0.609,0.224
203827,Natasha Howard,MIN,F,35,1012.8333333333334,19.869,top,NA,NA,NA,NA,NA,NA,NA,116.1,101.5,14.6,0.624,0.214
1642798,Dominique Malonga,SEA,C,26,683.3383333333334,19.569,top,NA,NA,NA,NA,NA,NA,NA,106.2,109.9,-3.8,0.567,0.289
1629491,Jessica Shepard,DAL,F,33,1062.435,19.175,top,NA,NA,NA,NA,NA,NA,NA,110.6,106.7,3.9,0.616,0.181
1642784,Paige Bueckers,DAL,G,32,1066.5466666666666,19.168,top,NA,NA,NA,NA,NA,NA,NA,112.7,108,4.7,0.602,0.244
1629498,Jackie Young,LVA,G,33,1070.7766666666666,19.104,top,NA,NA,NA,NA,NA,NA,NA,115.4,104.7,10.7,0.607,0.233
1628280,Brionna Jones,ATL,F,8,147.66333333333333,19.07,below threshold,NA,NA,NA,NA,NA,NA,NA,110.8,108.8,2,0.614,0.184
1642769,Mai Yamamoto,LVA,G,4,44.31166666666667,19.047,below threshold,NA,NA,NA,NA,NA,NA,NA,94.6,117.8,-23.2,0.688,0.18
203014,Nneka Ogwumike,LAS,F,31,971.97,18.996,top,NA,NA,NA,NA,NA,NA,NA,107.2,113.1,-5.9,0.604,0.219
1629497,Marina Mabrey,TOR,G,31,915.8866666666668,18.225,top,NA,NA,NA,NA,NA,NA,NA,106.3,115.8,-9.5,0.604,0.294
1642304,Carla Leite,PDX,G,30,760.1916666666667,17.99,top,NA,NA,NA,NA,NA,NA,NA,108,110.1,-2.1,0.597,0.275
204324,Dearica Hamby,LAS,F,32,944.425,17.988,top,NA,NA,NA,NA,NA,NA,NA,105.3,109.5,-4.2,0.613,0.205
1627673,Jonquel Jones,NYL,C,33,960.9566666666668,17.841,top,NA,NA,NA,NA,NA,NA,NA,110.2,108.1,2,0.632,0.202
1643431,Madina Okot,ATL,C,31,272.72,17.791,top,NA,NA,NA,NA,NA,NA,NA,94.5,102.6,-8.1,0.631,0.257
1628279,Brittney Sykes,TOR,G,15,476.6766666666667,17.555,top,NA,NA,NA,NA,NA,NA,NA,108.8,111.1,-2.3,0.55,0.277
203825,Kayla McBride,MIN,G,35,1128.195,17.511,top,NA,NA,NA,NA,NA,NA,NA,114.6,103.4,11.2,0.635,0.204
203398,Brittney Griner,CON,C,17,436.4916666666667,17.476,top,NA,NA,NA,NA,NA,NA,NA,97.5,102.1,-4.6,0.569,0.229
