team,wins,losses,win_pct,point_diff,point_diff_per_game,standing_score,rank,games_back_from_8th,playoff_position,rank_change
MIN,22,6,0.7857142857142857,243,8.678571428571429,1.6332128235919008,1,-7,contender,0
GSV,19,8,0.7037037037037037,149,5.518518518518518,1.0983813752522242,2,-4.5,contender,0
LVA,18,8,0.6923076923076923,121,4.653846153846154,0.9828454848837584,3,-4,contender,0
DAL,18,9,0.6666666666666666,109,4.037037037037037,0.8515795484803077,4,-3.5,in,0
IND,17,10,0.6296296296296297,159,5.888888888888889,0.9276232554590187,5,-2.5,contender,0
ATL,16,10,0.6153846153846154,106,4.076923076923077,0.7123912257473641,6,-2,in,0
NYL,15,12,0.5555555555555556,63,2.3333333333333335,0.37662484035951904,7,-0.5,in,0
WAS,14,12,0.5384615384615384,-61,-2.3461538461538463,-0.1242844310439761,8,0,in,0
PDX,11,16,0.4074074074074074,-142,-5.2592592592592595,-0.7720052336034595,9,3.5,out,0
TOR,10,16,0.38461538461538464,-115,-4.423076923076923,-0.7545963278938612,10,4,out,1
LAS,10,16,0.38461538461538464,-132,-5.076923076923077,-0.817923721052638,11,4,out,-1
PHX,10,18,0.35714285714285715,-100,-3.5714285714285716,-0.7487457634420313,12,5,out,1
CHI,9,18,0.3333333333333333,-60,-2.2222222222222223,-0.6844869263961636,13,5.5,out,-1
CON,7,20,0.25925925925925924,-191,-7.074074074074074,-1.3610363823986846,14,7.5,out,0
SEA,6,23,0.20689655172413793,-149,-5.137931034482759,-1.3195797679432795,15,9.5,out,0
