team,team_id,fga,poss_count,expected_pts,actual_pts,shot_generation_per100,shot_making_per100,actual_pts_per100
NYL,1611661313,2692,2141,2814.7845239228586,2886,131.47055226169354,3.326271652365314,134.79682391405885
PHX,1611661317,2623,2205,2666.554325884798,2647,120.93216897436724,-0.8868175004443488,120.0453514739229
LVA,1611661319,2731,2057,2695.86455821573,2968,131.0580728349893,13.229724928744282,144.2877977637336
LAS,1611661320,2726,2135,2831.8109731205877,2879,132.63751630541393,2.2102588702300827,134.84777517564405
DAL,1611661321,2836,2146,2840.1902629861866,2976,132.34810172349424,6.328505918630636,138.67660764212488
WAS,1611661322,2605,2062,2721.887145397137,2584,132.0022863917137,-6.687058457669104,125.31522793404461
CON,1611661323,2745,2138,2805.876670740302,2555,131.2383849738214,-11.73417543219373,119.50420954162769
MIN,1611661324,2820,2231,2902.569932077457,3088,130.10174505053595,8.311522542471671,138.41326759300762
IND,1611661325,2777,2224,2899.503281325401,3147,130.3733489804587,11.128449580692399,141.50179856115108
PDX,1611661327,2727,2147,2864.758882178347,2878,133.4307816571191,0.6167264937891479,134.04750815090824
SEA,1611661328,2788,2328,2838.3575604412235,2712,121.92257562032746,-5.427730259502729,116.49484536082475
CHI,1611661329,2791,2215,2958.317872361112,2759,133.55836895535495,-8.998549542262403,124.55981941309255
ATL,1611661330,2856,2070,3086.0813219107094,2862,149.086054198585,-10.825184633367606,138.2608695652174
GSV,1611661331,2720,2009,2719.841859051552,2736,135.38287003740925,0.8042877525359834,136.18715778994525
TOR,1611661332,2712,2087,2825.8243119884687,2775,135.40126075651503,-2.4352808810957693,132.96597987541926
