team,raw_value,raw_rank,adjusted_value,adjusted_rank,delta,metric
ATL,79.61538461538461,7,79.6330650008614,7,0,pace_per40
CHI,81.28395061728395,3,81.09056981014193,3,0,pace_per40
CON,78.82304526748972,8,78.88693291963176,9,-1,pace_per40
DAL,78.76954732510288,9,78.46670179754857,11,-2,pace_per40
GSV,74.4074074074074,15,74.65951526412633,15,0,pace_per40
IND,81.59670781893004,2,81.71147326182265,1,1,pace_per40
LAS,81.73931623931624,1,81.22355592085566,2,-1,pace_per40
LVA,78.73504273504274,10,78.96065752795928,8,2,pace_per40
MIN,79.67857142857143,6,79.86284549316662,5,1,pace_per40
NYL,78.60082304526749,11,78.86958458505532,10,1,pace_per40
PDX,78.09876543209876,13,77.9813188416987,13,0,pace_per40
PHX,78.40873015873017,12,78.02373602675375,12,0,pace_per40
SEA,79.9272030651341,4,79.98940551811944,4,0,pace_per40
TOR,79.8974358974359,5,79.78560523134428,6,-1,pace_per40
WAS,77.06410256410257,14,77.30081342557074,14,0,pace_per40
ATL,0.377576920680236,8,0.3804969161592602,7,1,fg3a_rate
CHI,0.33555030696856064,12,0.3355070721632617,12,0,fg3a_rate
CON,0.26609839662512,15,0.2698569201779782,15,0,fg3a_rate
DAL,0.337994265251276,11,0.3365717385381348,11,0,fg3a_rate
GSV,0.45210519315249215,1,0.4513015476321034,1,0,fg3a_rate
IND,0.3908699059127897,5,0.3867045080557278,5,0,fg3a_rate
LAS,0.38298996415790126,6,0.38569380298582584,6,0,fg3a_rate
LVA,0.3389762831296896,10,0.3437793869615207,10,0,fg3a_rate
MIN,0.31754748379707204,13,0.3205184188411867,13,0,fg3a_rate
NYL,0.4380828848494832,2,0.43767291844777945,2,0,fg3a_rate
PDX,0.4165585730346115,3,0.4194708513405746,3,0,fg3a_rate
PHX,0.3695663233612683,9,0.3714699460248086,9,0,fg3a_rate
SEA,0.3795592081730243,7,0.3796860303378417,8,-1,fg3a_rate
TOR,0.40967735432958535,4,0.4094054746952191,4,0,fg3a_rate
WAS,0.3064489285821193,14,0.30963945560127315,14,0,fg3a_rate
ATL,0.4436170273872627,1,0.42547933181440956,1,0,ra_share
CHI,0.407203889078375,2,0.3928557218368436,2,0,ra_share
CON,0.3831192992943608,4,0.3743827270100772,4,0,ra_share
DAL,0.27791351390775926,13,0.27308032506746416,13,0,ra_share
GSV,0.23210575233850833,15,0.22974150756142703,15,0,ra_share
IND,0.3508138184727307,6,0.3478441033421675,5,1,ra_share
LAS,0.3408437280898782,7,0.3296480480023756,7,0,ra_share
LVA,0.25028421354284774,14,0.24988790146559187,14,0,ra_share
MIN,0.3518831947610998,5,0.3467908390652009,6,-1,ra_share
NYL,0.3172720945373858,10,0.3091290748983845,10,0,ra_share
PDX,0.33175411851494735,9,0.32165419172244303,9,0,ra_share
PHX,0.2937523574146191,12,0.28536420343520025,12,0,ra_share
SEA,0.2982549927786375,11,0.2922694598516077,11,0,ra_share
TOR,0.33611369696590254,8,0.32810919475617495,8,0,ra_share
WAS,0.4006841719383153,3,0.3838921892290526,3,0,ra_share
ATL,0.15943562947958284,15,0.17299223726056837,15,0,paint_share
CHI,0.18981316487857255,11,0.2008343020151737,11,0,paint_share
CON,0.23436423665179823,7,0.23587965841486982,7,0,paint_share
DAL,0.25855773745281124,2,0.25956054118578226,2,0,paint_share
GSV,0.23613594223093426,6,0.23710382481467132,6,0,paint_share
IND,0.17635624754912638,13,0.18634131918162894,13,0,paint_share
LAS,0.223565212532241,8,0.22683085684380458,8,0,paint_share
LVA,0.30545265444178527,1,0.2928937621113597,1,0,paint_share
MIN,0.17798939775797654,12,0.1869239864823783,12,0,paint_share
NYL,0.20787224180953387,10,0.21300855182011572,10,0,paint_share
PDX,0.21593371733822112,9,0.2192716519795903,9,0,paint_share
PHX,0.23617526319142412,5,0.23850304102817568,5,0,paint_share
SEA,0.237739107023144,4,0.23939011406021246,4,0,paint_share
TOR,0.17408892090518055,14,0.18563877452675212,14,0,paint_share
WAS,0.24356419075340596,3,0.24606401645618722,3,0,paint_share
ATL,0.019370422452918416,15,0.024300696482799762,15,0,mid_share
CHI,0.06743263907449182,10,0.07102702476456585,10,0,mid_share
CON,0.11641806742872092,3,0.11784866987472839,3,0,mid_share
DAL,0.1255344833881535,2,0.12702027397756097,2,0,mid_share
GSV,0.07965311227806528,9,0.08269208319829545,9,0,mid_share
IND,0.08196002806535319,7,0.08474075541416264,7,0,mid_share
LAS,0.052601095219979584,11,0.05646044121820229,11,0,mid_share
LVA,0.10528684888567738,4,0.10660580332712188,4,0,mid_share
MIN,0.15257992368385162,1,0.15238536725279828,1,0,mid_share
NYL,0.03677277880359709,13,0.04118107460564101,13,0,mid_share
PDX,0.035753591112220054,14,0.03973837144433737,14,0,mid_share
PHX,0.10050605603268845,5,0.10309393732368816,5,0,mid_share
SEA,0.08444669202519418,6,0.08726997931791226,6,0,mid_share
TOR,0.08012002779933156,8,0.08303018595144353,8,0,mid_share
WAS,0.049302708726159467,12,0.053732689899114665,12,0,mid_share
ATL,0.0651627867756524,12,0.06421016335301367,12,0,corner3_share
CHI,0.07191814481765334,9,0.07083537949010105,9,0,corner3_share
CON,0.042689002975518774,15,0.043958138032643826,15,0,corner3_share
DAL,0.056432390837137275,14,0.0558607038986433,14,0,corner3_share
GSV,0.10872628004491354,1,0.10319204449823258,1,0,corner3_share
IND,0.07583936317388086,6,0.0735968543923686,7,-1,corner3_share
LAS,0.07447124668724328,7,0.07364285179656237,6,1,corner3_share
LVA,0.07253180546763655,8,0.07274406597052721,8,0,corner3_share
MIN,0.06612490398327393,11,0.06678661569376351,10,1,corner3_share
NYL,0.10488280145739919,2,0.09982649506630364,2,0,corner3_share
